gene1	gene2
G1008	G89
G1020	G106
G1020	G236
G1020	G305
G1049	G113
G1049	G183
G1049	G199
G1049	G223
G1049	G23
G1049	G278
G1057	G13
G1057	G183
G1057	G197
G1057	G202
G1057	G23
G106	G1138
G106	G1221
G106	G1328
G106	G1340
G106	G1355
G106	G1371
G106	G1395
G106	G1540
G106	G1581
G106	G168
G106	G1712
G106	G1715
G106	G1817
G106	G1838
G106	G1868
G106	G1987
G106	G199
G106	G1996
G106	G2005
G106	G2319
G106	G236
G106	G2389
G106	G2574
G106	G2616
G106	G2708
G106	G274
G106	G2840
G106	G2877
G106	G2940
G106	G2995
G106	G305
G106	G3068
G106	G3127
G106	G326
G106	G3423
G106	G3544
G106	G3545
G106	G3682
G106	G3718
G106	G3893
G106	G4004
G106	G4065
G106	G4151
G106	G4265
G106	G4275
G106	G4333
G106	G56
G106	G809
G106	G900
G1089	G113
G1089	G199
G1090	G150
G110	G219
G1116	G188
G1116	G193
G1116	G254
G1116	G259
G1119	G254
G1119	G259
G113	G1138
G113	G121
G113	G1328
G113	G1355
G113	G1371
G113	G1395
G113	G1491
G113	G1540
G113	G1775
G113	G183
G113	G1838
G113	G1888
G113	G1996
G113	G2005
G113	G2192
G113	G23
G113	G236
G113	G244
G113	G258
G113	G2616
G113	G274
G113	G2819
G113	G2834
G113	G2877
G113	G2896
G113	G3544
G113	G3609
G113	G3682
G113	G3718
G113	G3993
G113	G4065
G113	G4265
G113	G809
G113	G972
G1138	G168
G1138	G172
G1138	G183
G1138	G23
G1138	G278
G1138	G3
G1138	G305
G1138	G84
G116	G1284
G116	G2990
G116	G4206
G1170	G168
G1170	G172
G1170	G216
G1170	G299
G1170	G305
G1170	G57
G1177	G263
G1181	G263
G1195	G187
G1198	G172
G1198	G3
G121	G1307
G121	G236
G1221	G168
G1221	G172
G1221	G208
G1221	G305
G1221	G56
G1221	G72
G1221	G84
G1222	G232
G125	G665
G128	G2157
G1282	G13
G13	G1326
G13	G1458
G13	G1485
G13	G193
G13	G1934
G13	G197
G13	G1993
G13	G202
G13	G2394
G13	G2796
G13	G2971
G13	G3431
G13	G3475
G13	G3954
G13	G4123
G13	G4283
G13	G4397
G13	G791
G1307	G168
G1307	G236
G1307	G284
G1307	G332
G1326	G193
G1326	G197
G1328	G183
G1328	G199
G1328	G223
G1328	G236
G1328	G244
G1328	G274
G1328	G56
G1340	G168
G1340	G172
G1340	G208
G1340	G216
G1340	G236
G1340	G284
G1340	G299
G1340	G305
G1340	G332
G1355	G140
G1355	G199
G1355	G236
G1355	G244
G1355	G274
G1371	G140
G1371	G199
G1371	G223
G1371	G236
G1371	G244
G1371	G263
G1371	G274
G1395	G175
G1395	G199
G1395	G223
G1395	G236
G1395	G244
G1395	G263
G1395	G274
G140	G199
G140	G2005
G140	G244
G140	G2619
G140	G2751
G140	G2859
G1451	G3
G1458	G193
G1464	G179
G1464	G183
G1464	G202
G1464	G260
G147	G244
G1485	G197
G1485	G202
G1491	G179
G1491	G183
G1491	G202
G1491	G23
G1491	G260
G1491	G274
G1491	G278
G1492	G244
G1494	G183
G1494	G23
G150	G1917
G150	G1940
G150	G1969
G150	G2244
G150	G2318
G150	G4019
G150	G650
G1512	G199
G1532	G4
G1535	G263
G1540	G179
G1540	G236
G1540	G274
G1540	G305
G1540	G56
G1566	G172
G1566	G305
G1616	G244
G167	G4
G168	G1712
G168	G172
G168	G1736
G168	G1822
G168	G1868
G168	G1987
G168	G2014
G168	G2640
G168	G2781
G168	G284
G168	G2840
G168	G2995
G168	G305
G168	G3127
G168	G332
G168	G3423
G168	G4004
G168	G4065
G168	G437
G168	G56
G168	G809
G168	G900
G170	G2640
G1712	G183
G1712	G202
G1712	G208
G1712	G236
G1712	G55
G1712	G56
G1712	G72
G1715	G56
G172	G1736
G172	G1822
G172	G202
G172	G2187
G172	G2234
G172	G2360
G172	G2640
G172	G2781
G172	G2840
G172	G305
G172	G3543
G172	G3670
G172	G3911
G172	G4213
G172	G4265
G172	G433
G172	G437
G172	G4447
G172	G855
G172	G879
G172	G900
G1736	G3
G1736	G305
G174	G2566
G175	G2132
G175	G3537
G175	G3726
G1772	G263
G1775	G179
G1775	G183
G1775	G55
G1775	G72
G178	G48
G179	G1822
G179	G1838
G179	G2005
G179	G2794
G179	G283
G179	G2877
G179	G3682
G179	G3718
G179	G72
G179	G900
G1817	G199
G1817	G236
G1817	G56
G1817	G92
G1822	G183
G1822	G202
G1822	G23
G1822	G278
G1822	G3
G1822	G305
G1822	G72
G1822	G84
G183	G1838
G183	G1934
G183	G202
G183	G2258
G183	G23
G183	G2516
G183	G2616
G183	G274
G183	G278
G183	G2819
G183	G2877
G183	G2896
G183	G331
G183	G3543
G183	G3609
G183	G3670
G183	G3676
G183	G3682
G183	G3718
G183	G3861
G183	G3911
G183	G3993
G183	G4265
G183	G433
G183	G437
G183	G55
G183	G684
G183	G809
G183	G900
G183	G972
G183	G992
G183	G999
G1838	G199
G1838	G223
G1838	G236
G1838	G244
G1838	G263
G1838	G274
G1838	G72
G1864	G199
G1864	G223
G1864	G236
G1864	G263
G1868	G236
G1868	G305
G1868	G56
G187	G2581
G187	G2989
G187	G4047
G187	G4270
G188	G2314
G188	G254
G188	G259
G188	G2821
G188	G2929
G188	G3162
G188	G4312
G188	G666
G1888	G223
G1888	G236
G1888	G244
G1888	G258
G1888	G274
G19	G224
G19	G89
G1904	G3
G192	G2781
G192	G558
G1927	G254
G1927	G259
G193	G1993
G193	G2709
G193	G2971
G193	G3399
G193	G3475
G193	G3966
G193	G4283
G193	G791
G193	G896
G1934	G202
G1934	G23
G1934	G278
G1934	G31
G1941	G216
G197	G1993
G197	G2796
G197	G3475
G197	G4123
G197	G4271
G197	G4283
G197	G4397
G1982	G271
G1987	G208
G1987	G236
G1987	G284
G1987	G305
G1987	G332
G199	G1996
G199	G2005
G199	G2141
G199	G236
G199	G244
G199	G2574
G199	G2619
G199	G263
G199	G2751
G199	G2859
G199	G3310
G199	G3317
G199	G3489
G199	G3537
G199	G3544
G199	G3894
G199	G392
G199	G4151
G199	G4275
G199	G4333
G199	G797
G199	G809
G1996	G236
G1996	G284
G1996	G313
G1996	G332
G2005	G236
G2005	G244
G2005	G274
G201	G3
G202	G2516
G202	G2709
G202	G2796
G202	G2819
G202	G2877
G202	G3316
G202	G3543
G202	G3670
G202	G3861
G202	G4111
G202	G437
G202	G4397
G202	G55
G202	G855
G203	G333
G209	G2123
G2121	G55
G2132	G236
G2132	G244
G2132	G274
G2141	G244
G2141	G263
G2157	G57
G216	G284
G216	G299
G216	G332
G2187	G260
G219	G3647
G2192	G23
G2192	G236
G2192	G244
G2192	G263
G2192	G274
G2225	G244
G223	G2616
G223	G263
G223	G3266
G223	G3544
G223	G3993
G2258	G23
G23	G2360
G23	G2505
G23	G2616
G23	G2732
G23	G2751
G23	G2794
G23	G2819
G23	G2844
G23	G2877
G23	G2896
G23	G3254
G23	G331
G23	G3414
G23	G3475
G23	G3659
G23	G3682
G23	G3718
G23	G3919
G23	G3954
G23	G4265
G23	G4300
G23	G4322
G23	G4335
G23	G519
G23	G657
G23	G785
G23	G809
G23	G890
G23	G900
G23	G992
G2314	G254
G2314	G259
G2318	G244
G2319	G236
G232	G3253
G232	G3266
G232	G797
G2330	G260
G2334	G263
G236	G2389
G236	G2574
G236	G2640
G236	G2708
G236	G274
G236	G284
G236	G2840
G236	G2940
G236	G2995
G236	G3068
G236	G3127
G236	G3296
G236	G3317
G236	G332
G236	G3423
G236	G3537
G236	G3544
G236	G3545
G236	G3682
G236	G3726
G236	G3812
G236	G3893
G236	G392
G236	G3993
G236	G4004
G236	G4151
G236	G4245
G236	G4275
G236	G4333
G236	G4469
G236	G809
G236	G900
G236	G912
G2360	G3
G2389	G274
G244	G2619
G244	G274
G244	G326
G244	G3544
G244	G3545
G244	G3766
G244	G392
G244	G4019
G244	G4086
G244	G424
G244	G4246
G244	G4333
G244	G797
G244	G817
G25	G2574
G25	G3317
G2500	G263
G2516	G55
G254	G259
G254	G2709
G254	G2929
G254	G3162
G254	G4271
G254	G4312
G254	G666
G254	G896
G258	G274
G258	G73
G2581	G315
G259	G2668
G259	G2689
G259	G2709
G259	G2821
G259	G2929
G259	G3162
G259	G4271
G259	G4312
G259	G4453
G259	G666
G259	G896
G260	G2834
G260	G3419
G263	G2784
G263	G2932
G263	G3107
G263	G3108
G263	G3266
G263	G3317
G263	G3473
G263	G3544
G263	G392
G263	G3993
G263	G4180
G263	G4330
G263	G544
G2640	G305
G2645	G278
G268	G2995
G268	G3296
G268	G332
G268	G333
G268	G4004
G274	G2834
G274	G2877
G274	G3544
G274	G3545
G274	G3609
G274	G3718
G274	G3993
G274	G4265
G274	G4300
G274	G972
G278	G2844
G278	G2877
G278	G331
G278	G3543
G278	G3670
G278	G3911
G278	G3961
G278	G4265
G278	G4447
G278	G900
G2781	G305
G2781	G56
G2781	G84
G279	G3441
G2794	G58
G2819	G305
G2819	G55
G282	G3371
G282	G3825
G283	G86
G284	G2995
G284	G313
G284	G3140
G284	G332
G284	G3423
G284	G912
G2840	G305
G2840	G332
G2840	G56
G2844	G58
G2877	G58
G2896	G55
G299	G332
G2995	G305
G2995	G332
G2995	G333
G2995	G56
G3	G4322
G3	G58
G3	G900
G303	G4098
G305	G3127
G305	G3386
G305	G3543
G305	G3670
G305	G3718
G305	G3729
G305	G4004
G305	G4065
G305	G4265
G305	G437
G305	G56
G305	G809
G305	G84
G305	G900
G305	G999
G31	G3386
G31	G3670
G31	G3961
G31	G73
G3127	G56
G313	G332
G313	G333
G313	G3423
G3140	G332
G315	G3449
G3296	G332
G3296	G333
G332	G333
G332	G3423
G332	G912
G333	G4004
G334	G3363
G3419	G86
G3682	G56
G3766	G55
G3861	G55
G4004	G56
G4027	G73
G4065	G84
G4286	G57
G4322	G58
G4333	G56
G4333	G92
G437	G55
G437	G72
G437	G84
G4400	G57
G57	G855
G58	G900
G73	G931
