Algorithm,Problem,ExecutionId,IndicatorValue
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_01_exp,0,0.5758569504149689
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_01_exp,1,0.5835132052210231
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_01_exp,2,0.47182045737998285
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_01_exp,3,0.727608946557189
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_01_exp,4,0.4333444010154459
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_02_exp,0,0.4082532377260814
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_02_exp,1,0.47790954143970493
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_02_exp,2,0.4129872908729107
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_02_exp,3,0.30691597107619684
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_02_exp,4,0.4898536258746399
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_03_exp,0,0.43795317149941176
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_03_exp,1,0.4840446796333624
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_03_exp,2,0.5214078148508425
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_03_exp,3,0.4932983789155497
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_03_exp,4,0.3974489880046804
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_04_exp,0,0.3822793430133014
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_04_exp,1,0.4210272411792617
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_04_exp,2,0.4930068495429463
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_04_exp,3,0.40954998903252526
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_04_exp,4,0.8077619044895642
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_05_exp,0,0.7636215774526609
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_05_exp,1,0.7297862287894147
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_05_exp,2,0.7809780860047257
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_05_exp,3,0.7784374265099088
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_010_05_exp,4,0.6992046910142675
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_01_exp,0,0.3110528508025971
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_01_exp,1,0.30644189295938595
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_01_exp,2,0.3200022839360457
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_01_exp,3,0.3377999963408647
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_01_exp,4,0.330707995698665
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_02_exp,0,0.34966536122457065
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_02_exp,1,0.39377076865195765
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_02_exp,2,0.34904280963988976
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_02_exp,3,0.3549434233465323
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_02_exp,4,0.41151116977907376
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_03_exp,0,0.25290846360457825
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_03_exp,1,0.31875224298525395
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,dream4_100_03_exp,2,0.2988396603806692
