Regulator	Target	Edge_Value	Source	Gold_Standard_Value
G259	G495	1	IEntropy_True_Positive	1
G7	G495	1	IEntropy_True_Positive	1
G76	G495	1	IEntropy_True_Positive	1
G13	G495	1	IEntropy_True_Positive	1
G187	G495	1	IEntropy_True_Positive	1
G110	G495	1	IEntropy_True_Positive	1
G309	G495	1	IEntropy_True_Positive	1
G11	G495	1	IEntropy_True_Positive	1
G254	G495	1	IEntropy_True_Positive	1
G284	G495	1	IEntropy_True_Positive	1
G219	G495	1	IEntropy_True_Positive	1
G116	G495	1	IEntropy_True_Positive	1
G36	G495	1	IEntropy_True_Positive	1
G299	G495	1	IEntropy_True_Positive	1
G89	G495	1	IEntropy_True_Positive	1
G138	G495	1	IEntropy_True_Positive	1
G216	G495	1	IEntropy_True_Positive	1
G332	G495	1	IEntropy_True_Positive	1
G188	G495	1	IEntropy_True_Positive	1
G4	G495	1	IEntropy_True_Positive	1
G197	G495	1	IEntropy_True_Positive	1
G10	G495	1	IEntropy_True_Positive	1
G23	G495	1	IEntropy_True_Positive	1
G113	G495	1	IEntropy_True_Positive	1
G183	G495	1	IEntropy_True_Positive	1
G73	G495	1	IEntropy_True_Positive	1
G151	G495	1	IEntropy_True_Positive	1
G92	G495	1	IEntropy_True_Positive	1
G281	G495	1	IEntropy_True_Positive	1
G150	G495	1	IEntropy_True_Positive	1
G244	G495	1	IEntropy_True_Positive	1
G167	G495	1	IEntropy_True_Positive	1
G19	G495	1	IEntropy_True_Positive	1
G145	G495	1	IEntropy_True_Positive	1
G22	G495	1	IEntropy_True_Positive	1
G178	G495	1	IEntropy_True_Positive	1
G209	G495	1	IEntropy_True_Positive	1
G313	G495	1	IEntropy_True_Positive	1
G31	G495	1	IEntropy_True_Positive	1
G57	G495	1	IEntropy_True_Positive	1
G277	G495	1	IEntropy_True_Positive	1
G192	G495	1	IEntropy_True_Positive	1
G305	G495	1	IEntropy_True_Positive	1
G280	G495	1	IEntropy_True_Positive	1
G268	G495	1	IEntropy_True_Positive	1
G315	G495	1	IEntropy_True_Positive	1
G48	G495	1	IEntropy_True_Positive	1
G208	G495	1	IEntropy_True_Positive	1
G55	G495	1	IEntropy_True_Positive	1
G162	G495	1	IEntropy_True_Positive	1
G193	G495	1	IEntropy_True_Positive	1
G69	G495	1	IEntropy_True_Positive	1
G282	G495	1	IEntropy_True_Positive	1
G278	G495	1	IEntropy_True_Positive	1
G264	G495	1	IEntropy_True_Positive	1
G210	G495	1	IEntropy_True_Positive	1
G328	G495	1	IEntropy_True_Positive	1
G333	G495	1	IEntropy_True_Positive	1
G125	G495	1	IEntropy_True_Positive	1
G176	G495	1	IEntropy_True_Positive	1
G121	G495	1	IEntropy_True_Positive	1
G84	G495	1	IEntropy_True_Positive	1
G202	G495	1	IEntropy_True_Positive	1
G140	G495	1	IEntropy_True_Positive	1
G66	G495	1	IEntropy_True_Positive	1
G6	G495	1	IEntropy_True_Positive	1
G168	G495	1	IEntropy_True_Positive	1
G199	G495	1	IEntropy_True_Positive	1
G220	G495	1	IEntropy_True_Positive	1
G179	G495	1	IEntropy_True_Positive	1
G86	G495	1	IEntropy_True_Positive	1
G207	G495	1	IEntropy_True_Positive	1
G235	G495	1	IEntropy_True_Positive	1
G82	G495	1	IEntropy_True_Positive	1
G323	G495	1	IEntropy_True_Positive	1
G172	G495	1	IEntropy_True_Positive	1
G259	G1530	1	IEntropy_True_Positive	1
G7	G1530	1	IEntropy_True_Positive	1
G76	G1530	1	IEntropy_True_Positive	1
G13	G1530	1	IEntropy_True_Positive	1
G187	G1530	1	IEntropy_True_Positive	1
G110	G1530	1	IEntropy_True_Positive	1
G309	G1530	1	IEntropy_True_Positive	1
G11	G1530	1	IEntropy_True_Positive	1
G254	G1530	1	IEntropy_True_Positive	1
G284	G1530	1	IEntropy_True_Positive	1
G219	G1530	1	IEntropy_True_Positive	1
G116	G1530	1	IEntropy_True_Positive	1
G36	G1530	1	IEntropy_True_Positive	1
G299	G1530	1	IEntropy_True_Positive	1
G89	G1530	1	IEntropy_True_Positive	1
G138	G1530	1	IEntropy_True_Positive	1
G216	G1530	1	IEntropy_True_Positive	1
G332	G1530	1	IEntropy_True_Positive	1
G188	G1530	1	IEntropy_True_Positive	1
G4	G1530	1	IEntropy_True_Positive	1
G197	G1530	1	IEntropy_True_Positive	1
G10	G1530	1	IEntropy_True_Positive	1
G23	G1530	1	IEntropy_True_Positive	1
G113	G1530	1	IEntropy_True_Positive	1
G183	G1530	1	IEntropy_True_Positive	1
G73	G1530	1	IEntropy_True_Positive	1
G151	G1530	1	IEntropy_True_Positive	1
G92	G1530	1	IEntropy_True_Positive	1
G281	G1530	1	IEntropy_True_Positive	1
G150	G1530	1	IEntropy_True_Positive	1
G244	G1530	1	IEntropy_True_Positive	1
G167	G1530	1	IEntropy_True_Positive	1
G19	G1530	1	IEntropy_True_Positive	1
G145	G1530	1	IEntropy_True_Positive	1
G22	G1530	1	IEntropy_True_Positive	1
G178	G1530	1	IEntropy_True_Positive	1
G209	G1530	1	IEntropy_True_Positive	1
G313	G1530	1	IEntropy_True_Positive	1
G31	G1530	1	IEntropy_True_Positive	1
G57	G1530	1	IEntropy_True_Positive	1
G277	G1530	1	IEntropy_True_Positive	1
G192	G1530	1	IEntropy_True_Positive	1
G305	G1530	1	IEntropy_True_Positive	1
G280	G1530	1	IEntropy_True_Positive	1
G268	G1530	1	IEntropy_True_Positive	1
G315	G1530	1	IEntropy_True_Positive	1
G48	G1530	1	IEntropy_True_Positive	1
G208	G1530	1	IEntropy_True_Positive	1
G55	G1530	1	IEntropy_True_Positive	1
G162	G1530	1	IEntropy_True_Positive	1
G193	G1530	1	IEntropy_True_Positive	1
G69	G1530	1	IEntropy_True_Positive	1
G282	G1530	1	IEntropy_True_Positive	1
G278	G1530	1	IEntropy_True_Positive	1
G264	G1530	1	IEntropy_True_Positive	1
G210	G1530	1	IEntropy_True_Positive	1
G328	G1530	1	IEntropy_True_Positive	1
G333	G1530	1	IEntropy_True_Positive	1
G125	G1530	1	IEntropy_True_Positive	1
G176	G1530	1	IEntropy_True_Positive	1
G121	G1530	1	IEntropy_True_Positive	1
G84	G1530	1	IEntropy_True_Positive	1
G202	G1530	1	IEntropy_True_Positive	1
G140	G1530	1	IEntropy_True_Positive	1
G66	G1530	1	IEntropy_True_Positive	1
G6	G1530	1	IEntropy_True_Positive	1
G168	G1530	1	IEntropy_True_Positive	1
G199	G1530	1	IEntropy_True_Positive	1
G220	G1530	1	IEntropy_True_Positive	1
G179	G1530	1	IEntropy_True_Positive	1
G86	G1530	1	IEntropy_True_Positive	1
G207	G1530	1	IEntropy_True_Positive	1
G235	G1530	1	IEntropy_True_Positive	1
G82	G1530	1	IEntropy_True_Positive	1
G323	G1530	1	IEntropy_True_Positive	1
G172	G1530	1	IEntropy_True_Positive	1
G259	G1768	1	IEntropy_True_Positive	1
G7	G1768	1	IEntropy_True_Positive	1
G76	G1768	1	IEntropy_True_Positive	1
G13	G1768	1	IEntropy_True_Positive	1
G187	G1768	1	IEntropy_True_Positive	1
G110	G1768	1	IEntropy_True_Positive	1
G309	G1768	1	IEntropy_True_Positive	1
G11	G1768	1	IEntropy_True_Positive	1
G254	G1768	1	IEntropy_True_Positive	1
G284	G1768	1	IEntropy_True_Positive	1
G219	G1768	1	IEntropy_True_Positive	1
G116	G1768	1	IEntropy_True_Positive	1
G36	G1768	1	IEntropy_True_Positive	1
G299	G1768	1	IEntropy_True_Positive	1
G89	G1768	1	IEntropy_True_Positive	1
G138	G1768	1	IEntropy_True_Positive	1
G216	G1768	1	IEntropy_True_Positive	1
G332	G1768	1	IEntropy_True_Positive	1
