Regulator	Target	Edge_Value	Source	Gold_Standard_Value
G55	G495	1	IEntropy_True_Positive_Corrected	1
G55	G1530	1	IEntropy_True_Positive_Corrected	1
G55	G1768	1	IEntropy_True_Positive_Corrected	1
G55	G1891	1	IEntropy_True_Positive_Corrected	1
G55	G525	1	IEntropy_True_Positive_Corrected	1
G259	G4271	1	IEntropy_True_Positive_Corrected	1
G254	G4271	1	IEntropy_True_Positive_Corrected	1
G188	G4271	1	IEntropy_True_Positive_Corrected	1
G55	G1792	1	IEntropy_True_Positive_Corrected	1
G110	G2327	1	IEntropy_True_Positive_Corrected	1
G219	G2327	1	IEntropy_True_Positive_Corrected	1
G208	G2327	1	IEntropy_True_Positive_Corrected	1
G110	G329	1	IEntropy_True_Positive_Corrected	1
G219	G329	1	IEntropy_True_Positive_Corrected	1
G208	G329	1	IEntropy_True_Positive_Corrected	1
G110	G2808	1	IEntropy_True_Positive_Corrected	1
G219	G2808	1	IEntropy_True_Positive_Corrected	1
G55	G1062	1	IEntropy_True_Positive_Corrected	1
G259	G2314	1	IEntropy_True_Positive_Corrected	1
G254	G2314	1	IEntropy_True_Positive_Corrected	1
G188	G2314	1	IEntropy_True_Positive_Corrected	1
G281	G2314	1	IEntropy_True_Positive_Corrected	1
G110	G1408	1	IEntropy_True_Positive_Corrected	1
G219	G1408	1	IEntropy_True_Positive_Corrected	1
G259	G3162	1	IEntropy_True_Positive_Corrected	1
G254	G3162	1	IEntropy_True_Positive_Corrected	1
G89	G3162	1	IEntropy_True_Positive_Corrected	1
G188	G3162	1	IEntropy_True_Positive_Corrected	1
G281	G3162	1	IEntropy_True_Positive_Corrected	1
G110	G431	1	IEntropy_True_Positive_Corrected	1
G219	G431	1	IEntropy_True_Positive_Corrected	1
G86	G3647	1	IEntropy_True_Positive_Corrected	1
G86	G2760	1	IEntropy_True_Positive_Corrected	1
G254	G259	1	IEntropy_True_Positive_Corrected	1
G138	G259	1	IEntropy_True_Positive_Corrected	1
G188	G259	1	IEntropy_True_Positive_Corrected	1
G55	G259	1	IEntropy_True_Positive_Corrected	1
G110	G4351	1	IEntropy_True_Positive_Corrected	1
G219	G4351	1	IEntropy_True_Positive_Corrected	1
G259	G2929	1	IEntropy_True_Positive_Corrected	1
G254	G2929	1	IEntropy_True_Positive_Corrected	1
G89	G2929	1	IEntropy_True_Positive_Corrected	1
G188	G2929	1	IEntropy_True_Positive_Corrected	1
G281	G2929	1	IEntropy_True_Positive_Corrected	1
G110	G1457	1	IEntropy_True_Positive_Corrected	1
G219	G1457	1	IEntropy_True_Positive_Corrected	1
G145	G1051	1	IEntropy_True_Positive_Corrected	1
G55	G1051	1	IEntropy_True_Positive_Corrected	1
G268	G3200	1	IEntropy_True_Positive_Corrected	1
G282	G3200	1	IEntropy_True_Positive_Corrected	1
