gene1	gene2
G1	G1002
G1	G1025
G1	G1106
G1	G1165
G1	G1224
G1	G1234
G1	G1306
G1	G1348
G1	G1355
G1	G1378
G1	G1483
G1	G1486
G1	G1561
G1	G1568
G1	G1574
G1	G1678
G1	G1679
G1	G1812
G1	G1862
G1	G1869
G1	G1949
G1	G2082
G1	G2084
G1	G2087
G1	G2149
G1	G2162
G1	G2186
G1	G2190
G1	G2192
G1	G2210
G1	G2223
G1	G2230
G1	G2288
G1	G2335
G1	G238
G1	G2418
G1	G2428
G1	G2439
G1	G2503
G1	G2600
G1	G2643
G1	G2686
G1	G271
G1	G2733
G1	G2757
G1	G2762
G1	G2771
G1	G2842
G1	G2882
G1	G2927
G1	G294
G1	G2942
G1	G3007
G1	G3049
G1	G3103
G1	G3143
G1	G3190
G1	G3202
G1	G3217
G1	G3340
G1	G3358
G1	G3381
G1	G3395
G1	G3501
G1	G3533
G1	G3541
G1	G3565
G1	G3573
G1	G3580
G1	G3625
G1	G3682
G1	G3690
G1	G3694
G1	G3744
G1	G3746
G1	G3758
G1	G3794
G1	G3809
G1	G3818
G1	G3855
G1	G3886
G1	G3941
G1	G3947
G1	G4088
G1	G412
G1	G4126
G1	G4193
G1	G4211
G1	G4231
G1	G429
G1	G4333
G1	G4353
G1	G4392
G1	G4401
G1	G4433
G1	G4467
G1	G4471
G1	G461
G1	G556
G1	G625
G1	G627
G1	G646
G1	G652
G1	G654
G1	G739
G1	G755
G1	G788
G1	G825
G1	G827
G1	G837
G1	G885
G1	G921
G1	G964
G100	G1005
G100	G1052
G100	G1078
G100	G1321
G100	G1355
G100	G1360
G100	G1417
G100	G1483
G100	G1531
G100	G156
G100	G1679
G100	G1817
G100	G1820
G100	G1838
G100	G2005
G100	G2090
G100	G2151
G100	G2162
G100	G217
G100	G2186
G100	G2223
G100	G2306
G100	G231
G100	G2415
G100	G2425
G100	G244
G100	G2454
G100	G2706
G100	G2870
G100	G2927
G100	G3041
G100	G3103
G100	G3143
G100	G3148
G100	G3340
G100	G3393
G100	G3537
G100	G3576
G100	G3580
G100	G3669
G100	G3694
G100	G37
G100	G372
G100	G3744
G100	G392
G100	G3941
G100	G4004
G100	G4031
G100	G409
G100	G412
G100	G415
G100	G4294
G100	G4333
G100	G4433
G100	G4468
G100	G5
G100	G514
G100	G627
G100	G751
G100	G758
G100	G772
G100	G825
G100	G833
G100	G837
G100	G885
G100	G928
G100	G983
G1000	G1479
G1000	G2331
G1000	G2341
G1000	G2575
G1000	G3158
G1000	G3621
G1000	G3873
G1000	G3875
G1000	G3898
G1000	G3973
G1000	G4342
G1000	G441
G1000	G4434
G1000	G4492
G1000	G465
G1000	G508
G1000	G817
G1000	G852
G1000	G934
G1001	G2824
G1001	G2979
G1002	G1165
G1002	G1306
G1002	G1348
G1002	G1395
G1002	G1533
G1002	G1690
G1002	G177
G1002	G1779
G1002	G1811
G1002	G1812
G1002	G1862
G1002	G1869
G1002	G1902
G1002	G2084
G1002	G2124
G1002	G2162
G1002	G2182
G1002	G2186
G1002	G2192
G1002	G2288
G1002	G231
G1002	G2405
G1002	G2428
G1002	G2503
G1002	G2600
G1002	G2686
G1002	G2702
G1002	G2757
G1002	G2762
G1002	G2810
G1002	G2827
G1002	G2834
G1002	G286
G1002	G287
G1002	G292
G1002	G2925
G1002	G3007
G1002	G3100
G1002	G3103
G1002	G3190
G1002	G3202
G1002	G3217
G1002	G3257
G1002	G3301
G1002	G3358
G1002	G3501
G1002	G3525
G1002	G3533
G1002	G3541
G1002	G3580
G1002	G3678
G1002	G3744
G1002	G3758
G1002	G3886
G1002	G3934
G1002	G4108
G1002	G4114
G1002	G412
G1002	G4122
G1002	G4126
G1002	G4129
G1002	G4179
G1002	G429
G1002	G4353
G1002	G4359
G1002	G4392
G1002	G4401
G1002	G4418
G1002	G4433
G1002	G544
G1002	G569
G1002	G599
G1002	G622
G1002	G627
G1002	G739
G1002	G825
G1002	G833
G1002	G885
G1002	G964
G1003	G1613
G1003	G1975
G1003	G23
G1003	G2717
G1003	G2977
G1003	G3121
G1003	G3136
G1003	G3322
G1003	G341
G1003	G3571
G1003	G3975
G1003	G604
G1003	G713
G1003	G992
G1004	G1009
G1004	G1023
G1004	G1038
G1004	G1049
G1004	G1050
G1004	G1065
G1004	G1092
G1004	G1121
G1004	G1127
G1004	G1135
G1004	G1138
G1004	G1143
G1004	G1147
G1004	G1164
G1004	G1173
G1004	G1192
G1004	G1199
G1004	G1227
G1004	G1234
G1004	G1263
G1004	G1265
G1004	G1266
G1004	G1297
G1004	G1301
G1004	G1310
G1004	G1315
G1004	G1335
G1004	G1341
G1004	G1354
G1004	G1367
G1004	G1378
G1004	G1380
G1004	G1422
G1004	G1433
G1004	G1439
G1004	G1443
G1004	G1445
G1004	G1460
G1004	G1465
G1004	G1468
G1004	G1471
G1004	G1481
G1004	G1487
G1004	G1491
G1004	G1493
G1004	G1500
G1004	G1540
G1004	G1541
G1004	G1544
G1004	G1546
G1004	G1559
G1004	G1560
G1004	G1606
G1004	G1614
G1004	G1617
G1004	G1621
G1004	G165
G1004	G1651
G1004	G1668
G1004	G1706
G1004	G172
G1004	G1729
G1004	G1733
G1004	G1736
G1004	G1741
G1004	G1749
G1004	G1763
G1004	G1773
G1004	G1780
G1004	G1784
G1004	G1785
G1004	G1806
G1004	G1813
G1004	G1816
G1004	G1822
G1004	G1829
G1004	G183
G1004	G1834
G1004	G1870
G1004	G1911
G1004	G1925
G1004	G1934
G1004	G1935
G1004	G1942
G1004	G1958
G1004	G1975
G1004	G1984
G1004	G1986
G1004	G2015
G1004	G2050
G1004	G2057
G1004	G2063
G1004	G2068
G1004	G2076
G1004	G2077
G1004	G2082
G1004	G2085
G1004	G2086
G1004	G2089
G1004	G2138
G1004	G2146
G1004	G2159
G1004	G2161
G1004	G2165
G1004	G2177
G1004	G2204
G1004	G2208
G1004	G2209
G1004	G2226
G1004	G2241
G1004	G2247
G1004	G2248
G1004	G2256
G1004	G2259
G1004	G2285
G1004	G23
G1004	G2322
G1004	G2329
G1004	G2344
G1004	G2346
G1004	G2357
G1004	G2360
G1004	G2361
G1004	G2364
G1004	G2390
G1004	G2401
G1004	G2402
G1004	G2405
G1004	G2416
G1004	G2418
G1004	G242
G1004	G2420
G1004	G2428
G1004	G2452
G1004	G2476
G1004	G2485
G1004	G2505
G1004	G2509
G1004	G2516
G1004	G2544
G1004	G2573
G1004	G2579
G1004	G2582
G1004	G2591
G1004	G2593
G1004	G2631
G1004	G2643
G1004	G2644
G1004	G2648
G1004	G2653
G1004	G2675
G1004	G2683
G1004	G2684
G1004	G2726
G1004	G2732
G1004	G2736
G1004	G274
G1004	G2771
G1004	G278
G1004	G2797
G1004	G2798
G1004	G2816
G1004	G2828
G1004	G2829
G1004	G2835
G1004	G2838
G1004	G2844
G1004	G2850
G1004	G2853
G1004	G2877
G1004	G2888
G1004	G2890
G1004	G2892
G1004	G2902
G1004	G2904
G1004	G291
G1004	G2911
G1004	G2923
G1004	G2927
G1004	G2935
G1004	G2938
G1004	G2939
G1004	G2955
G1004	G2975
G1004	G2982
G1004	G2993
G1004	G3001
G1004	G3009
G1004	G3014
G1004	G302
G1004	G3020
G1004	G3040
G1004	G305
G1004	G3055
G1004	G3059
G1004	G3063
G1004	G3081
G1004	G3102
G1004	G3103
G1004	G3136
G1004	G3152
G1004	G3168
G1004	G3178
G1004	G3193
G1004	G3197
G1004	G3206
G1004	G3211
G1004	G3215
G1004	G3219
G1004	G3246
G1004	G325
G1004	G3273
G1004	G3276
G1004	G3280
G1004	G3285
G1004	G3300
G1004	G3309
G1004	G3322
G1004	G3327
G1004	G3340
G1004	G3342
G1004	G3354
G1004	G336
G1004	G338
G1004	G3381
G1004	G3386
G1004	G3393
G1004	G3395
G1004	G341
G1004	G3410
G1004	G3413
G1004	G3420
G1004	G3424
G1004	G3436
G1004	G3450
G1004	G3456
G1004	G348
G1004	G3485
G1004	G3495
G1004	G3517
G1004	G3535
G1004	G3543
G1004	G3549
G1004	G3552
G1004	G3558
G1004	G3565
G1004	G3566
G1004	G3571
G1004	G3584
G1004	G3594
G1004	G3609
G1004	G3631
G1004	G365
G1004	G3654
G1004	G3657
G1004	G3659
G1004	G3663
G1004	G3664
G1004	G3677
G1004	G3682
G1004	G3684
G1004	G3690
G1004	G3696
G1004	G3705
G1004	G3715
G1004	G3718
G1004	G3720
G1004	G3724
G1004	G3762
G1004	G3763
G1004	G3791
G1004	G3802
G1004	G3804
G1004	G3818
G1004	G3826
G1004	G3830
G1004	G3845
G1004	G3853
G1004	G3860
G1004	G3861
G1004	G3869
G1004	G387
G1004	G3886
G1004	G3889
G1004	G3901
G1004	G3909
G1004	G3941
G1004	G3945
G1004	G3947
G1004	G3961
G1004	G3981
G1004	G399
G1004	G4024
G1004	G4033
G1004	G4042
G1004	G4048
G1004	G405
G1004	G407
G1004	G4075
G1004	G4077
G1004	G4088
G1004	G4092
G1004	G4095
G1004	G4103
G1004	G4112
G1004	G4116
G1004	G4148
G1004	G4160
G1004	G4163
G1004	G4165
G1004	G4172
G1004	G4176
G1004	G4183
G1004	G4189
G1004	G4190
G1004	G420
G1004	G4200
G1004	G4219
G1004	G4223
G1004	G423
G1004	G4234
G1004	G4248
G1004	G4249
G1004	G4254
G1004	G4265
G1004	G4272
G1004	G4295
G1004	G4300
G1004	G4301
G1004	G4314
G1004	G4322
G1004	G433
G1004	G4371
G1004	G4388
G1004	G4406
G1004	G4421
G1004	G4447
G1004	G4467
G1004	G4473
G1004	G4475
G1004	G4486
G1004	G451
G1004	G472
G1004	G474
G1004	G499
G1004	G500
G1004	G513
G1004	G522
G1004	G562
G1004	G575
G1004	G582
G1004	G598
G1004	G635
G1004	G636
G1004	G657
G1004	G662
G1004	G675
G1004	G716
G1004	G75
G1004	G753
G1004	G755
G1004	G770
G1004	G775
G1004	G778
G1004	G788
G1004	G800
G1004	G801
G1004	G804
G1004	G809
G1004	G810
G1004	G826
G1004	G845
G1004	G856
G1004	G862
G1004	G87
G1004	G870
G1004	G882
G1004	G883
G1004	G890
G1004	G900
G1004	G906
G1004	G943
G1004	G960
G1004	G979
G1004	G982
G1004	G992
G1004	G999
G1005	G1078
G1005	G1207
G1005	G1321
G1005	G1355
G1005	G1531
G1005	G1817
G1005	G1832
G1005	G200
G1005	G2223
G1005	G2230
G1005	G2306
G1005	G2415
G1005	G2425
G1005	G2574
G1005	G2733
G1005	G2995
G1005	G3041
G1005	G3103
G1005	G3137
G1005	G3405
G1005	G3423
G1005	G3555
G1005	G3744
G1005	G3774
G1005	G3858
G1005	G3923
G1005	G3928
G1005	G3989
G1005	G4004
G1005	G4267
G1005	G4333
G1005	G4468
G1005	G496
G1005	G5
G1005	G627
G1005	G751
G1005	G909
G1005	G959
G1006	G1630
G1006	G2247
G1006	G3075
G1006	G348
G1006	G3659
G1006	G4183
G1006	G992
G1007	G1692
G1007	G3275
G1008	G1829
G1008	G2645
G1008	G2844
G1008	G3557
G1008	G812
G1008	G886
G1009	G1023
G1009	G1049
G1009	G1050
G1009	G106
G1009	G1065
G1009	G1092
G1009	G1121
G1009	G113
G1009	G1135
G1009	G1138
G1009	G1143
G1009	G1147
G1009	G1164
G1009	G1173
G1009	G1184
G1009	G1199
G1009	G1221
G1009	G1227
G1009	G1234
G1009	G1263
G1009	G1265
G1009	G1271
G1009	G1279
G1009	G1297
G1009	G1301
G1009	G1310
G1009	G1318
G1009	G1340
G1009	G1341
G1009	G1348
G1009	G1354
G1009	G1360
G1009	G1378
G1009	G1380
G1009	G1422
G1009	G1433
G1009	G1439
G1009	G1460
G1009	G1464
G1009	G1468
G1009	G1471
G1009	G1474
G1009	G1481
G1009	G1484
G1009	G1487
G1009	G1491
G1009	G1500
G1009	G1540
G1009	G1541
G1009	G1544
G1009	G1546
G1009	G1559
G1009	G1560
G1009	G1565
G1009	G1577
G1009	G1598
G1009	G1606
G1009	G1614
G1009	G1621
G1009	G1623
G1009	G165
G1009	G1651
G1009	G1654
G1009	G1668
G1009	G1676
G1009	G168
G1009	G1692
G1009	G1706
G1009	G1712
G1009	G172
G1009	G1736
G1009	G1741
G1009	G1749
G1009	G1754
G1009	G1763
G1009	G1770
G1009	G1775
G1009	G1780
G1009	G1784
G1009	G1813
G1009	G1816
G1009	G1822
G1009	G183
G1009	G1834
G1009	G1845
G1009	G1879
G1009	G1934
G1009	G1935
G1009	G1942
G1009	G1945
G1009	G1958
G1009	G1986
G1009	G202
G1009	G2057
G1009	G2063
G1009	G2076
G1009	G2077
G1009	G2082
G1009	G2085
G1009	G2086
G1009	G2089
G1009	G2146
G1009	G2159
G1009	G2161
G1009	G2165
G1009	G2177
G1009	G2190
G1009	G2200
G1009	G2204
G1009	G2208
G1009	G2241
G1009	G2247
G1009	G2248
G1009	G2256
G1009	G2259
G1009	G228
G1009	G2285
G1009	G23
G1009	G2320
G1009	G2329
G1009	G2338
G1009	G2344
G1009	G2346
G1009	G2360
G1009	G2364
G1009	G2390
G1009	G2401
G1009	G2402
G1009	G2405
G1009	G2415
G1009	G2416
G1009	G2418
G1009	G2420
G1009	G2432
G1009	G2434
G1009	G2436
G1009	G2446
G1009	G2452
G1009	G2463
G1009	G2476
G1009	G2478
G1009	G2505
G1009	G2509
G1009	G2516
G1009	G2528
G1009	G2569
G1009	G2579
G1009	G2582
G1009	G2586
G1009	G2591
G1009	G2616
G1009	G2631
G1009	G2643
G1009	G2644
G1009	G2648
G1009	G265
G1009	G2653
G1009	G2662
G1009	G2675
G1009	G2683
G1009	G2716
G1009	G2726
G1009	G2732
G1009	G2736
G1009	G274
G1009	G2771
G1009	G278
G1009	G2781
G1009	G2797
G1009	G2798
G1009	G2811
G1009	G2828
G1009	G2829
G1009	G2835
G1009	G2840
G1009	G2844
G1009	G2850
G1009	G2853
G1009	G2877
G1009	G2888
G1009	G2896
G1009	G29
G1009	G2902
G1009	G291
G1009	G2911
G1009	G2927
G1009	G2935
G1009	G2938
G1009	G2955
G1009	G2973
G1009	G2975
G1009	G2982
G1009	G2993
G1009	G3009
G1009	G3014
G1009	G302
G1009	G3020
G1009	G3040
G1009	G305
G1009	G3055
G1009	G3059
G1009	G3063
G1009	G3075
G1009	G3102
G1009	G3103
G1009	G3113
G1009	G3127
G1009	G3136
G1009	G3139
G1009	G3152
G1009	G3168
G1009	G3178
G1009	G3193
G1009	G3197
G1009	G3206
G1009	G3211
G1009	G3215
G1009	G3219
G1009	G3246
G1009	G3247
G1009	G325
G1009	G3273
G1009	G3280
G1009	G3289
G1009	G3300
G1009	G331
G1009	G3322
G1009	G3327
G1009	G3342
G1009	G336
G1009	G3381
G1009	G3395
G1009	G341
G1009	G3413
G1009	G3420
G1009	G3424
G1009	G3436
G1009	G3456
G1009	G3465
G1009	G348
G1009	G3485
G1009	G3495
G1009	G3535
G1009	G3543
G1009	G3549
G1009	G3552
G1009	G3565
G1009	G3566
G1009	G3593
G1009	G3594
G1009	G3609
G1009	G3631
G1009	G3654
G1009	G3657
G1009	G3663
G1009	G3664
G1009	G3670
G1009	G3677
G1009	G3682
G1009	G3690
G1009	G3696
G1009	G3715
G1009	G3718
G1009	G3720
