cell_id,Library,Well,Hours,Media,Mapped.Fragments
CELL_0001,LIB_001,WELL_001,0,GM,4108406
CELL_0002,LIB_002,WELL_002,24,DM,3494515
CELL_0003,LIB_003,WELL_003,48,GM,4591473
CELL_0004,LIB_004,WELL_004,72,DM,3948867
CELL_0005,LIB_005,WELL_005,0,GM,3323283
CELL_0006,LIB_006,WELL_006,24,DM,1632051
CELL_0007,LIB_007,WELL_007,48,GM,4653571
CELL_0008,LIB_008,WELL_008,72,DM,1019205
CELL_0009,LIB_009,WELL_009,0,GM,4834257
CELL_0010,LIB_010,WELL_010,24,DM,2734084
CELL_0011,LIB_011,WELL_011,48,GM,3147764
CELL_0012,LIB_012,WELL_012,72,DM,1650824
CELL_0013,LIB_013,WELL_013,0,GM,4731664
CELL_0014,LIB_014,WELL_014,24,DM,4845094
CELL_0015,LIB_015,WELL_015,48,GM,3123430
CELL_0016,LIB_016,WELL_016,72,DM,3649430
CELL_0017,LIB_017,WELL_017,0,GM,2554788
CELL_0018,LIB_018,WELL_018,24,DM,4695265
CELL_0019,LIB_019,WELL_019,48,GM,3343292
CELL_0020,LIB_020,WELL_020,72,DM,4273465
CELL_0021,LIB_021,WELL_021,0,GM,4619388
CELL_0022,LIB_022,WELL_022,24,DM,2711559
CELL_0023,LIB_023,WELL_023,48,GM,3352248
CELL_0024,LIB_024,WELL_024,72,DM,2398069
CELL_0025,LIB_025,WELL_025,0,GM,1796616
CELL_0026,LIB_026,WELL_026,24,DM,2284867
CELL_0027,LIB_027,WELL_027,48,GM,2597710
CELL_0028,LIB_028,WELL_028,72,DM,1350488
CELL_0029,LIB_029,WELL_029,0,GM,1011832
CELL_0030,LIB_030,WELL_030,24,DM,1038561
CELL_0031,LIB_031,WELL_031,48,GM,3761673
CELL_0032,LIB_032,WELL_032,72,DM,2027869
CELL_0033,LIB_033,WELL_033,0,GM,4370740
CELL_0034,LIB_034,WELL_034,24,DM,4087161
CELL_0035,LIB_035,WELL_035,48,GM,3515607
CELL_0036,LIB_036,WELL_036,72,DM,2162139
CELL_0037,LIB_037,WELL_037,0,GM,4330809
CELL_0038,LIB_038,WELL_038,24,DM,4991152
CELL_0039,LIB_039,WELL_039,48,GM,2106284
CELL_0040,LIB_040,WELL_040,72,DM,3838455
CELL_0041,LIB_041,WELL_041,0,GM,4123322
CELL_0042,LIB_042,WELL_042,24,DM,4939873
CELL_0043,LIB_043,WELL_043,48,GM,3859217
CELL_0044,LIB_044,WELL_044,72,DM,2694585
CELL_0045,LIB_045,WELL_045,0,GM,1683230
CELL_0046,LIB_046,WELL_046,24,DM,3122460
CELL_0047,LIB_047,WELL_047,48,GM,4518088
CELL_0048,LIB_048,WELL_048,72,DM,1257769
CELL_0049,LIB_049,WELL_049,0,GM,3031195
CELL_0050,LIB_050,WELL_050,24,DM,2343499
CELL_0051,LIB_051,WELL_051,48,GM,4966496
CELL_0052,LIB_052,WELL_052,72,DM,3066525
CELL_0053,LIB_053,WELL_053,0,GM,2455514
CELL_0054,LIB_054,WELL_054,24,DM,1545276
CELL_0055,LIB_055,WELL_055,48,GM,4272792
CELL_0056,LIB_056,WELL_056,72,DM,2769101
CELL_0057,LIB_057,WELL_057,0,GM,2145140
CELL_0058,LIB_058,WELL_058,24,DM,2870904
CELL_0059,LIB_059,WELL_059,48,GM,4008448
CELL_0060,LIB_060,WELL_060,72,DM,4801024
CELL_0061,LIB_061,WELL_061,0,GM,1614881
CELL_0062,LIB_062,WELL_062,24,DM,3092849
CELL_0063,LIB_063,WELL_063,48,GM,2146638
CELL_0064,LIB_064,WELL_064,72,DM,2706350
CELL_0065,LIB_065,WELL_065,0,GM,2467232
CELL_0066,LIB_066,WELL_066,24,DM,3959609
CELL_0067,LIB_067,WELL_067,48,GM,1679043
CELL_0068,LIB_068,WELL_068,72,DM,4222061
CELL_0069,LIB_069,WELL_069,0,GM,3517220
CELL_0070,LIB_070,WELL_070,24,DM,4926537
CELL_0071,LIB_071,WELL_071,48,GM,2323259
CELL_0072,LIB_072,WELL_072,72,DM,4150959
CELL_0073,LIB_073,WELL_073,0,GM,3931975
