rna_seq_gene,gold_standard_gene
CELL_0001,G1
CELL_0003,G2
CELL_0004,G3
CELL_0005,G4
CELL_0006,G5
CELL_0013,G6
CELL_0016,G7
CELL_0017,G8
CELL_0018,G9
CELL_0019,G10
CELL_0023,G11
CELL_0024,G12
CELL_0026,G13
CELL_0027,G14
CELL_0029,G15
CELL_0031,G16
CELL_0036,G17
CELL_0037,G18
CELL_0045,G19
CELL_0048,G20
CELL_0053,G21
CELL_0054,G22
CELL_0055,G23
CELL_0056,G24
CELL_0060,G25
CELL_0067,G26
CELL_0069,G27
CELL_0072,G28
CELL_0073,G29
CELL_0075,G30
CELL_0077,G31
CELL_0078,G32
CELL_0079,G33
CELL_0084,G34
CELL_0086,G35
CELL_0087,G36
CELL_0089,G37
CELL_0090,G38
CELL_0091,G39
CELL_0093,G40
CELL_0094,G41
CELL_0095,G42
CELL_0102,G43
CELL_0104,G44
CELL_0105,G45
CELL_0106,G46
CELL_0108,G47
CELL_0110,G48
CELL_0113,G49
CELL_0116,G50
CELL_0120,G51
CELL_0122,G52
CELL_0124,G53
CELL_0129,G54
CELL_0130,G55
CELL_0132,G56
CELL_0136,G57
CELL_0139,G58
CELL_0140,G59
CELL_0141,G60
CELL_0145,G61
CELL_0150,G62
CELL_0152,G63
CELL_0154,G64
CELL_0155,G65
CELL_0156,G66
CELL_0161,G67
CELL_0162,G68
CELL_0163,G69
CELL_0165,G70
CELL_0167,G71
CELL_0168,G72
CELL_0169,G73
CELL_0171,G74
CELL_0172,G75
CELL_0175,G76
CELL_0177,G77
CELL_0179,G78
CELL_0181,G79
CELL_0183,G80
CELL_0187,G81
CELL_0188,G82
CELL_0191,G83
CELL_0193,G84
CELL_0194,G85
CELL_0197,G86
CELL_0199,G87
CELL_0200,G88
CELL_0202,G89
CELL_0203,G90
CELL_0205,G91
CELL_0206,G92
CELL_0209,G93
CELL_0213,G94
CELL_0214,G95
CELL_0216,G96
CELL_0217,G97
CELL_0218,G98
CELL_0219,G99
CELL_0222,G100
CELL_0228,G101
CELL_0231,G102
CELL_0233,G103
CELL_0236,G104
CELL_0237,G105
CELL_0238,G106
CELL_0242,G107
CELL_0243,G108
CELL_0244,G109
CELL_0246,G110
CELL_0254,G111
CELL_0259,G112
CELL_0260,G113
CELL_0261,G114
CELL_0263,G115
CELL_0264,G116
CELL_0270,G117
CELL_0271,G118
CELL_0273,G119
CELL_0274,G120
CELL_0276,G121
CELL_0278,G122
CELL_0280,G123
CELL_0284,G124
CELL_0287,G125
CELL_0291,G126
CELL_0292,G127
CELL_0293,G128
CELL_0294,G129
CELL_0298,G130
CELL_0299,G131
CELL_0301,G132
CELL_0302,G133
CELL_0305,G134
CELL_0306,G135
CELL_0308,G136
CELL_0310,G137
CELL_0315,G138
CELL_0318,G139
CELL_0321,G140
CELL_0325,G141
CELL_0326,G142
CELL_0327,G143
CELL_0329,G144
CELL_0331,G145
CELL_0332,G146
CELL_0333,G147
CELL_0336,G148
CELL_0337,G149
CELL_0338,G150
CELL_0339,G151
CELL_0340,G152
CELL_0341,G153
CELL_0342,G154
CELL_0343,G155
CELL_0346,G156
CELL_0348,G157
