cell_id,pseudotime,cell_type,hours,media,library
CELL_0001,0.9385361799537182,Tipo_1_Intermediario_1,0,GM,LIB_001
CELL_0002,6.020242861835042,Tipo_3_Final,24,DM,LIB_002
CELL_0003,2.6334913870908987,Tipo_2_Intermediario_2,48,GM,LIB_003
CELL_0004,1.8258851075519065,Tipo_2_Intermediario_2,72,DM,LIB_004
CELL_0005,0.33924974092469257,Tipo_0_Inicial,0,GM,LIB_005
CELL_0006,0.33919258382921036,Tipo_0_Inicial,24,DM,LIB_006
CELL_0007,0.11967753721736135,Tipo_0_Inicial,48,GM,LIB_007
CELL_0008,4.022461728959879,Tipo_3_Final,72,DM,LIB_008
CELL_0009,1.838164307254529,Tipo_2_Intermediario_2,0,GM,LIB_009
CELL_0010,2.4625001234091806,Tipo_2_Intermediario_2,24,DM,LIB_010
CELL_0011,0.041598615998277244,Tipo_0_Inicial,48,GM,LIB_011
CELL_0012,7.007114950316624,Tipo_3_Final,72,DM,LIB_012
CELL_0013,3.57285908670935,Tipo_3_Final,0,GM,LIB_013
CELL_0014,0.477375250497894,Tipo_0_Inicial,24,DM,LIB_014
CELL_0015,0.4013579774993267,Tipo_0_Inicial,48,GM,LIB_015
CELL_0016,0.4052228456645141,Tipo_0_Inicial,72,DM,LIB_016
CELL_0017,0.7255074589209543,Tipo_1_Intermediario_1,0,GM,LIB_017
CELL_0018,1.487855661721709,Tipo_2_Intermediario_2,24,DM,LIB_018
CELL_0019,1.1310741335606733,Tipo_1_Intermediario_1,48,GM,LIB_019
CELL_0020,0.688445985107883,Tipo_1_Intermediario_1,72,DM,LIB_020
CELL_0021,1.8927417477995974,Tipo_2_Intermediario_2,0,GM,LIB_021
CELL_0022,0.30046905745467734,Tipo_0_Inicial,24,DM,LIB_022
CELL_0023,0.6910310240048045,Tipo_1_Intermediario_1,48,GM,LIB_023
CELL_0024,0.9125544364416941,Tipo_1_Intermediario_1,72,DM,LIB_024
CELL_0025,1.21786937571955,Tipo_1_Intermediario_1,0,GM,LIB_025
CELL_0026,3.075872022061824,Tipo_3_Final,24,DM,LIB_026
CELL_0027,0.4454717242573806,Tipo_0_Inicial,48,GM,LIB_027
CELL_0028,1.4440583100662554,Tipo_2_Intermediario_2,72,DM,LIB_028
CELL_0029,1.7950094426195211,Tipo_2_Intermediario_2,0,GM,LIB_029
CELL_0030,0.09512769951281709,Tipo_0_Inicial,24,DM,LIB_030
CELL_0031,1.8706660412992202,Tipo_2_Intermediario_2,48,GM,LIB_031
CELL_0032,0.37392250395483284,Tipo_0_Inicial,72,DM,LIB_032
CELL_0033,0.13452786175860848,Tipo_0_Inicial,0,GM,LIB_033
CELL_0034,5.947375587013862,Tipo_3_Final,24,DM,LIB_034
CELL_0035,6.741260684922345,Tipo_3_Final,48,GM,LIB_035
CELL_0036,3.3046631456257534,Tipo_3_Final,72,DM,LIB_036
CELL_0037,0.7265757199375166,Tipo_1_Intermediario_1,0,GM,LIB_037
CELL_0038,0.20555463000501248,Tipo_0_Inicial,24,DM,LIB_038
CELL_0039,2.3055015261973235,Tipo_2_Intermediario_2,48,GM,LIB_039
CELL_0040,1.1601816851707967,Tipo_1_Intermediario_1,72,DM,LIB_040
CELL_0041,0.2603044679088973,Tipo_0_Inicial,0,GM,LIB_041
CELL_0042,1.3670944562683003,Tipo_1_Intermediario_1,24,DM,LIB_042
CELL_0043,0.06998744288695817,Tipo_0_Inicial,48,GM,LIB_043
CELL_0044,4.800845774786048,Tipo_3_Final,72,DM,LIB_044
CELL_0045,0.5989155536813722,Tipo_1_Intermediario_1,0,GM,LIB_045
CELL_0046,2.1725115971299607,Tipo_2_Intermediario_2,24,DM,LIB_046
CELL_0047,0.7470931633152473,Tipo_1_Intermediario_1,48,GM,LIB_047
CELL_0048,1.4682217918184572,Tipo_2_Intermediario_2,72,DM,LIB_048
CELL_0049,1.582447595963595,Tipo_2_Intermediario_2,0,GM,LIB_049
CELL_0050,0.4087771990158115,Tipo_0_Inicial,24,DM,LIB_050
CELL_0051,6.985614265472453,Tipo_3_Final,48,GM,LIB_051
CELL_0052,2.9844907542762815,Tipo_3_Final,72,DM,LIB_052
CELL_0053,5.610188838583165,Tipo_3_Final,0,GM,LIB_053
CELL_0054,4.504303995068393,Tipo_3_Final,24,DM,LIB_054
CELL_0055,1.82210882476655,Tipo_2_Intermediario_2,48,GM,LIB_055
