gene_id,mean_expression,std_expression,min_expression,max_expression,median_expression,cells_expressed,total_cells,expression_rate
GENE_000001,8.62478452671248,1.5856485867872743,3.55,14.756,8.4639,4511,4511,1.0
GENE_000002,8.656530813566837,1.5582488925589448,3.5193,14.869,8.5016,4511,4511,1.0
GENE_000003,8.635841010862336,1.6419493283792854,3.7322,14.591,8.5229,4511,4511,1.0
GENE_000004,8.60068969186433,1.6503285792952656,3.759,14.689,8.467,4511,4511,1.0
GENE_000005,8.561689248503656,1.6541535193065573,3.8468,14.745,8.4475,4511,4511,1.0
GENE_000006,8.62626575038794,1.5562858194047657,3.6212,14.517,8.4924,4511,4511,1.0
GENE_000007,8.520459011305697,1.5734423639329436,3.5584,14.911,8.3838,4511,4511,1.0
GENE_000008,8.57539507869652,1.3542340033925944,3.6352,14.887,8.5243,4511,4511,1.0
GENE_000009,8.522269541121704,1.3789053130164362,3.6494,14.843,8.4824,4511,4511,1.0
GENE_000010,8.637674196408778,1.4811103623192647,3.7158,14.844,8.5485,4511,4511,1.0
GENE_000011,8.641000177344269,1.5172615899994877,3.6141,14.725,8.5245,4511,4511,1.0
GENE_000012,8.332664708490357,1.5464300759163994,3.5849,14.835,8.1431,4511,4511,1.0
GENE_000013,8.505214630902238,1.6816951250738634,3.5726,14.517,8.3766,4511,4511,1.0
GENE_000014,8.568304367102638,1.6798753848688424,3.6467,14.466,8.4376,4511,4511,1.0
GENE_000015,8.47876065174019,1.71659636626145,3.8275,14.549,8.3868,4511,4511,1.0
GENE_000016,8.63988818443804,1.6091641941801764,3.6737,14.916,8.5193,4511,4511,1.0
GENE_000017,8.666351651518509,1.626675507387305,3.5576,14.884,8.5494,4511,4511,1.0
GENE_000018,8.609901041897583,1.6887664459700729,3.7886,14.364,8.5308,4511,4511,1.0
GENE_000019,8.59985938816227,1.6941589142169702,3.6915,14.439,8.5145,4511,4511,1.0
GENE_000020,8.55234145422301,1.7091128126684638,3.814,14.24,8.4756,4511,4511,1.0
GENE_000021,8.591334160939924,1.6185620719130398,3.6114,14.892,8.4458,4511,4511,1.0
GENE_000022,8.624128929283973,1.6045845318030814,3.6054,14.875,8.4814,4511,4511,1.0
GENE_000023,8.589925936599423,1.5526513477981407,3.5616,14.877,8.4483,4511,4511,1.0
GENE_000024,8.595499268454887,1.5408787001737456,3.5765,14.901,8.4595,4511,4511,1.0
GENE_000025,8.597673176679228,1.4719647904357518,3.6594,14.756,8.4563,4511,4511,1.0
GENE_000026,8.643939547772113,1.47914794883925,3.7226,14.713,8.5807,4511,4511,1.0
GENE_000027,8.616377366437597,1.4689334541882784,3.607,14.809,8.5535,4511,4511,1.0
GENE_000028,8.260464708490359,1.1215403999059488,3.5447,14.804,8.2448,4511,4511,1.0
GENE_000029,8.448752915096431,1.4321151953674942,3.5911,14.87,8.3509,4511,4511,1.0
GENE_000030,8.587155530924408,1.5966520262953543,3.6331,14.869,8.4211,4511,4511,1.0
GENE_000031,8.585982154732875,1.597935809658862,3.5651,14.803,8.4303,4511,4511,1.0
GENE_000032,8.36815615162935,1.4975914516069186,3.5788,14.673,8.1972,4511,4511,1.0
GENE_000033,8.385045621813344,1.5074115029927946,3.5718,14.886,8.2278,4511,4511,1.0
GENE_000034,8.351213832853025,1.538775208435871,3.5819,14.913,8.1712,4511,4511,1.0
GENE_000035,8.710077455109733,1.5295097886593263,3.5908,14.653,8.5863,4511,4511,1.0
GENE_000036,8.61737036133895,1.425509581864786,3.6737,14.725,8.5455,4511,4511,1.0
GENE_000037,8.317235579694081,1.3653544960404873,3.5863,14.872,8.2491,4511,4511,1.0
GENE_000038,8.60634757260031,1.6190446330237602,3.6479,14.77,8.4531,4511,4511,1.0
GENE_000039,8.599503014852582,1.6046825223357424,3.6032,14.8,8.4323,4511,4511,1.0
GENE_000040,8.574471048547993,1.54446914725278,3.5435,14.726,8.4717,4511,4511,1.0
GENE_000041,8.603567080469963,1.5692553873911657,3.5427,14.82,8.4936,4511,4511,1.0
GENE_000042,8.591957149190867,1.6612896349800068,3.7543,14.518,8.4651,4511,4511,1.0
GENE_000043,8.53190724894702,1.6786488892663785,3.6839,14.752,8.4062,4511,4511,1.0
GENE_000044,8.367234338284195,1.6650318991711324,3.8998,14.706,8.2172,4511,4511,1.0
GENE_000045,8.71405759255154,1.5131023897526787,3.6901,14.71,8.6233,4511,4511,1.0
GENE_000046,8.685153912657949,1.4858323828174302,3.6049,14.761,8.6161,4511,4511,1.0
GENE_000047,8.43620906672578,1.2931518964286703,3.5732,14.835,8.4333,4511,4511,1.0
GENE_000048,8.430760518731988,1.533465734546575,3.5439,14.786,8.3136,4511,4511,1.0
GENE_000049,8.61372981600532,1.6150174351395783,3.745,14.821,8.4302,4511,4511,1.0
