source_gene,target_gene,correlation,interaction_type,interaction_strength,threshold_used
CELL_0001,CELL_0825,0.7357678484812864,positive,0.7357678484812864,0.7
CELL_0001,CELL_0964,0.738830162810967,positive,0.738830162810967,0.7
CELL_0001,CELL_2600,0.7290315056351312,positive,0.7290315056351312,0.7
CELL_0001,CELL_2757,0.7024706701429615,positive,0.7024706701429615,0.7
CELL_0001,CELL_2762,0.7419305731384886,positive,0.7419305731384886,0.7
CELL_0001,CELL_3501,0.7329495957007011,positive,0.7329495957007011,0.7
CELL_0003,CELL_0387,0.7029121352461795,positive,0.7029121352461795,0.7
CELL_0003,CELL_0943,0.7248874890384879,positive,0.7248874890384879,0.7
CELL_0003,CELL_1135,0.7244173971512129,positive,0.7244173971512129,0.7
CELL_0003,CELL_1198,0.8013441654015867,positive,0.8013441654015867,0.7
CELL_0003,CELL_1451,0.8396767591515636,positive,0.8396767591515636,0.7
CELL_0003,CELL_1692,0.7139100084510748,positive,0.7139100084510748,0.7
CELL_0003,CELL_1729,0.7650135267847245,positive,0.7650135267847245,0.7
CELL_0003,CELL_1925,0.7475093017269294,positive,0.7475093017269294,0.7
CELL_0003,CELL_2177,0.7078980041689674,positive,0.7078980041689674,0.7
CELL_0003,CELL_2285,0.7165445439847844,positive,0.7165445439847844,0.7
CELL_0003,CELL_2401,0.7652160183100806,positive,0.7652160183100806,0.7
CELL_0003,CELL_2416,0.7005633921301009,positive,0.7005633921301009,0.7
CELL_0003,CELL_2591,0.7184274273857191,positive,0.7184274273857191,0.7
CELL_0003,CELL_3215,0.7187318248687293,positive,0.7187318248687293,0.7
CELL_0003,CELL_3219,0.7492758276326269,positive,0.7492758276326269,0.7
CELL_0003,CELL_3247,0.7177264520127357,positive,0.7177264520127357,0.7
CELL_0003,CELL_3517,0.7331664706973843,positive,0.7331664706973843,0.7
CELL_0003,CELL_3535,0.7316011133304123,positive,0.7316011133304123,0.7
CELL_0003,CELL_3558,0.7358256310839855,positive,0.7358256310839855,0.7
CELL_0003,CELL_3868,0.714237121950382,positive,0.714237121950382,0.7
CELL_0003,CELL_4007,0.7661910976389685,positive,0.7661910976389685,0.7
CELL_0003,CELL_4473,0.7624859432355499,positive,0.7624859432355499,0.7
CELL_0004,CELL_1029,0.7979988587138072,positive,0.7979988587138072,0.7
CELL_0004,CELL_1034,0.7169764138821898,positive,0.7169764138821898,0.7
CELL_0004,CELL_1179,0.7020353215350952,positive,0.7020353215350952,0.7
CELL_0004,CELL_1532,0.893303927985451,positive,0.893303927985451,0.7
CELL_0004,CELL_3044,0.8176473929151548,positive,0.8176473929151548,0.7
CELL_0005,CELL_0409,0.7053271173439863,positive,0.7053271173439863,0.7
CELL_0005,CELL_0412,0.7146990768077365,positive,0.7146990768077365,0.7
CELL_0005,CELL_0461,0.7074349515495273,positive,0.7074349515495273,0.7
CELL_0005,CELL_0516,0.730599139318276,positive,0.730599139318276,0.7
CELL_0005,CELL_0606,0.8084970324054872,positive,0.8084970324054872,0.7
CELL_0005,CELL_0625,0.7028293595458083,positive,0.7028293595458083,0.7
CELL_0005,CELL_0751,0.821669980071722,positive,0.821669980071722,0.7
CELL_0005,CELL_0974,0.717381955110206,positive,0.717381955110206,0.7
CELL_0005,CELL_1163,0.7666331059903715,positive,0.7666331059903715,0.7
CELL_0005,CELL_1561,0.7133528560427367,positive,0.7133528560427367,0.7
CELL_0005,CELL_1624,0.7316897821052035,positive,0.7316897821052035,0.7
CELL_0005,CELL_1679,0.8100284371473325,positive,0.8100284371473325,0.7
CELL_0005,CELL_1817,0.7688970408192032,positive,0.7688970408192032,0.7
CELL_0005,CELL_1820,0.8060276917198449,positive,0.8060276917198449,0.7
CELL_0005,CELL_2295,0.7624644824348833,positive,0.7624644824348833,0.7
CELL_0005,CELL_2415,0.728475576621998,positive,0.728475576621998,0.7
CELL_0005,CELL_2686,0.716635607994681,positive,0.716635607994681,0.7
CELL_0005,CELL_2954,0.7233341778285858,positive,0.7233341778285858,0.7
CELL_0005,CELL_3501,0.7450395072055763,positive,0.7450395072055763,0.7
CELL_0005,CELL_3580,0.7001547646614724,positive,0.7001547646614724,0.7
CELL_0005,CELL_3694,0.7649137402152508,positive,0.7649137402152508,0.7
CELL_0005,CELL_3746,0.7175518838270911,positive,0.7175518838270911,0.7
CELL_0005,CELL_3758,0.759100482104262,positive,0.759100482104262,0.7
CELL_0005,CELL_3760,0.7300094338245452,positive,0.7300094338245452,0.7
CELL_0005,CELL_3809,0.7545543207676225,positive,0.7545543207676225,0.7
CELL_0005,CELL_3923,0.8492819007137528,positive,0.8492819007137528,0.7
CELL_0005,CELL_4004,0.719472015290182,positive,0.719472015290182,0.7
CELL_0005,CELL_4333,0.7517277503580214,positive,0.7517277503580214,0.7
CELL_0006,CELL_1101,0.7050321564616167,positive,0.7050321564616167,0.7
CELL_0013,CELL_0197,0.8250030078934313,positive,0.8250030078934313,0.7
CELL_0013,CELL_0749,0.7176539439697408,positive,0.7176539439697408,0.7
CELL_0013,CELL_1057,0.9094425936585302,positive,0.9094425936585302,0.7
CELL_0013,CELL_1113,0.7210584843101596,positive,0.7210584843101596,0.7
CELL_0013,CELL_1282,0.8796536248128136,positive,0.8796536248128136,0.7
CELL_0013,CELL_1326,0.8893802391845966,positive,0.8893802391845966,0.7
