Cell_ID	SR_Value	SR_Category
Cell_1	0.643788760062307	Low
Cell_2	0.894152567721903	High
Cell_3	0.70448846090585	Medium
Cell_4	0.941508702002466	High
Cell_5	0.970233642146923	High
Cell_6	0.522778249694966	Low
Cell_7	0.764052744023502	Medium
Cell_8	0.946209522197023	High
Cell_9	0.775717507232912	Medium
Cell_10	0.728307367651723	Medium
Cell_11	0.978416672674939	High
Cell_12	0.726667078095488	Medium
Cell_13	0.838785317726433	High
Cell_14	0.786316700978205	Medium
Cell_15	0.551462341332808	Low
Cell_16	0.949912485200912	High
Cell_17	0.62304386717733	Low
Cell_18	0.521029766765423	Low
Cell_19	0.663960359641351	Low
Cell_20	0.977251824573614	High
Cell_21	0.944769658031873	High
Cell_22	0.8464017030783	High
Cell_23	0.820253406884149	Medium
Cell_24	0.997134888311848	High
Cell_25	0.827852899557911	Medium
Cell_26	0.854265234083869	High
Cell_27	0.772033012355678	Medium
Cell_28	0.79707101022359	Medium
Cell_29	0.64457986864727	Low
Cell_30	0.573556823655963	Low
Cell_31	0.981512116268277	High
Cell_32	0.951149522559717	High
Cell_33	0.845352639211342	High
Cell_34	0.897733708843589	High
Cell_35	0.512306842254475	Low
Cell_36	0.738897985545918	Medium
Cell_37	0.879229768761434	High
Cell_38	0.608203967916779	Low
Cell_39	0.659090503817424	Low
Cell_40	0.615812892676331	Low
Cell_41	0.571400011191145	Low
Cell_42	0.70727316790726	Medium
Cell_43	0.706862163147889	Medium
Cell_44	0.684422725462355	Medium
Cell_45	0.576222373871133	Low
Cell_46	0.569403031724505	Low
Cell_47	0.616517049726099	Low
Cell_48	0.732981225126423	Medium
Cell_49	0.632986320182681	Low
Cell_50	0.928913857671432	High
Cell_51	0.522915583336726	Low
Cell_52	0.721100037102588	Medium
Cell_53	0.899462422821671	High
Cell_54	0.56094962998759	Low
Cell_55	0.780473991879262	Medium
Cell_56	0.603265694808215	Low
Cell_57	0.563765825121664	Low
Cell_58	0.876653932151385	High
Cell_59	0.94752267957665	High
Cell_60	0.687231387943029	Medium
Cell_61	0.832557597314008	Medium
Cell_62	0.547420330462046	Low
Cell_63	0.691984818899073	Medium
Cell_64	0.637191822286695	Low
Cell_65	0.907320019439794	High
Cell_66	0.724258170695975	Medium
Cell_67	0.905032176524401	High
Cell_68	0.906194754759781	High
Cell_69	0.897171160555445	High
Cell_70	0.719915843801573	Medium
Cell_71	0.877237579319626	High
Cell_72	0.814610565779731	Medium
Cell_73	0.855091200675815	High
Cell_74	0.500312386662699	Low
Cell_75	0.737658287049271	Medium
Cell_76	0.610059442580678	Low
Cell_77	0.689908268861473	Medium
Cell_78	0.806385501637124	Medium
Cell_79	0.675898954621516	Medium
Cell_80	0.555567712173797	Low
