Cell_ID	Cluster	Trajectory_ID	Pseudo_time	X_coord	Y_coord	SR_Value	SR_Category	cell	sub
Cell_1	3	1	NA	3.72354088358321	6.25264846049687	0.643788760062307	Low	Cell_1	1
Cell_10	3	1	NA	2.02716608606229	8.13648611978834	0.728307367651723	Medium	Cell_10	1
Cell_100	2	1	NA	3.93559327653335	1.37064913098267	0.755752729950473	Medium	Cell_100	1
Cell_1000	1	1	NA	-1.74389047626773	-0.236336786344051	0.554412036552094	Low	Cell_1000	1
Cell_1001	1	1	NA	-3.72516548597752	-3.80842695468149	0.636811367119662	Low	Cell_1001	1
Cell_1002	2	1	NA	3.93346957411713	4.92058950024632	0.796933466335759	Medium	Cell_1002	1
Cell_1003	1	1	NA	-0.229288157535043	-0.677193792456797	0.580092406715266	Low	Cell_1003	1
Cell_1004	1	1	NA	-6.75825889677742	-3.587901349584	0.926715119392611	High	Cell_1004	1
Cell_1005	3	1	NA	0.709160312264381	8.91875242571446	0.923869578866288	High	Cell_1005	1
Cell_1006	1	1	NA	2.73363317145095	-2.19919937776847	0.738943406264298	Medium	Cell_1006	1
Cell_1007	2	1	NA	3.97981333388765	3.68372143539942	0.886846061213873	High	Cell_1007	1
Cell_1008	1	1	NA	-2.35215089266719	-1.88866452710682	0.647700040251948	Low	Cell_1008	1
Cell_1009	1	1	NA	-0.895575560787647	-0.535119882994992	0.532814055914059	Low	Cell_1009	1
Cell_101	1	1	NA	-1.25724001402117	-2.98072920660989	0.799994479632005	Medium	Cell_101	1
Cell_1010	2	1	NA	2.87151716756044	5.47125917822255	0.720266562420875	Medium	Cell_1010	1
Cell_1011	1	1	NA	1.31652753281152	-1.05052120443639	0.731049428926781	Medium	Cell_1011	1
Cell_1012	1	1	NA	-2.81844248036142	-2.80415481293138	0.670467185089365	Medium	Cell_1012	1
Cell_1013	2	1	NA	2.56392518762719	-0.98695928834041	0.592570159351453	Low	Cell_1013	1
Cell_1014	2	1	NA	1.42373871926072	-0.6805667476786	0.753498863428831	Medium	Cell_1014	1
Cell_1015	3	1	NA	0.990844614855719	8.78094847533965	0.509595515322872	Low	Cell_1015	1
Cell_1016	1	1	NA	-0.177553896639353	-3.14251600209919	0.886843019747175	High	Cell_1016	1
Cell_1017	2	1	NA	3.6540254745254	3.07805607640423	0.77983253961429	Medium	Cell_1017	1
Cell_1018	1	1	NA	-2.86904722848651	-3.34956971804349	0.82073131960351	Medium	Cell_1018	1
Cell_1019	1	1	NA	-5.5369238142351	-4.18895425428861	0.734216059325263	Medium	Cell_1019	1
Cell_102	1	1	NA	0.880328301551175	-0.206327746762883	0.666411770158447	Low	Cell_102	1
Cell_1020	1	1	NA	-6.44597091987698	-4.02473889243586	0.639611905324273	Low	Cell_1020	1
Cell_1021	1	1	NA	0.784846914682042	-0.55164039918624	0.730608285171911	Medium	Cell_1021	1
Cell_1022	2	1	NA	4.45680947665606	3.9063879299969	0.896369170863181	High	Cell_1022	1
Cell_1023	1	1	NA	-6.6359434285754	-3.46303819021753	0.792782788164914	Medium	Cell_1023	1
Cell_1024	1	1	NA	-4.78105771743228	-4.53759046727993	0.697379492921755	Medium	Cell_1024	1
Cell_1025	3	1	NA	-1.1285191275405	9.24188856862133	0.905618674820289	High	Cell_1025	1
Cell_1026	1	1	NA	-2.62575280954146	-3.73857045314138	0.659281546948478	Low	Cell_1026	1
Cell_1027	1	1	NA	-2.15400554766731	-0.454892420768695	0.790723669109866	Medium	Cell_1027	1
Cell_1028	1	1	NA	-2.59429426970792	-2.88150865598122	0.727744478965178	Medium	Cell_1028	1
Cell_1029	2	1	NA	4.58109196195135	2.21606612933718	0.634401724906638	Low	Cell_1029	1
Cell_103	2	1	NA	3.48967062107433	5.27192048170576	0.744306516833603	Medium	Cell_103	1
Cell_1030	1	1	NA	-7.43630315765188	-4.13192949709815	0.777588602388278	Medium	Cell_1030	1
Cell_1031	3	1	NA	2.9093587047902	6.63937371599394	0.61561544216238	Low	Cell_1031	1
Cell_1032	1	1	NA	1.11874930407434	-1.54247138812676	0.77161644899752	Medium	Cell_1032	1
Cell_1033	1	1	NA	-0.85237539361347	-2.461069372361	0.723785070586018	Medium	Cell_1033	1
Cell_1034	2	1	NA	4.56314251027208	2.16548682139537	0.565144068445079	Low	Cell_1034	1
Cell_1035	1	1	NA	-7.58619360350878	-4.2286658213402	0.81086299137678	Medium	Cell_1035	1
Cell_1036	2	1	NA	2.30828655732221	0.667082775003963	0.773997141630389	Medium	Cell_1036	1
Cell_1037	2	1	NA	3.86134617388521	5.14166477472068	0.574622106854804	Low	Cell_1037	1
Cell_1038	1	1	NA	-5.14446066967924	-3.71105184894412	0.779772934620269	Medium	Cell_1038	1
Cell_1039	1	1	NA	-1.09184689064454	-2.89912879717453	0.71344278822653	Medium	Cell_1039	1
Cell_104	3	1	NA	2.86841194238973	6.86840614842705	0.977236913749948	High	Cell_104	1
Cell_1040	2	1	NA	4.19050857630887	3.98729417558999	0.723865049192682	Medium	Cell_1040	1
Cell_1041	1	1	NA	-4.28394551055921	-4.36203897276443	0.916647385805845	High	Cell_1041	1
Cell_1042	1	1	NA	1.20494140720677	-0.931054436480202	0.859793641371652	High	Cell_1042	1
Cell_1043	2	1	NA	3.94548657175033	4.64667918446573	0.72844337776769	Medium	Cell_1043	1
Cell_1044	1	1	NA	2.19798846431508	-2.73755658931493	0.760632131481543	Medium	Cell_1044	1
Cell_1045	1	1	NA	-3.10105003325422	-2.521022957643	0.621228538802825	Low	Cell_1045	1
Cell_1046	1	1	NA	0.118889019533341	-1.58683803966438	0.537930417340249	Low	Cell_1046	1
Cell_1047	1	1	NA	0.492207728166119	-2.89013197191591	0.695647545624524	Medium	Cell_1047	1
Cell_1048	2	1	NA	3.74967861066899	1.65342558346946	0.506554107996635	Low	Cell_1048	1
Cell_1049	1	1	NA	-4.88978324461245	-2.98933923248072	0.933749734307639	High	Cell_1049	1
Cell_105	2	1	NA	4.00544383047371	2.34693630235275	0.7414511985844	Medium	Cell_105	1
Cell_1050	1	1	NA	-1.38566699860601	-1.46666861522818	0.996307836845517	High	Cell_1050	1
Cell_1051	1	1	NA	-4.31104089686557	-3.42347249460347	0.8544276941102	High	Cell_1051	1
Cell_1052	3	1	NA	1.89768136420275	7.55016830541253	0.913357745157555	High	Cell_1052	1
Cell_1053	2	1	NA	3.78680687784746	4.20341197740175	0.94594813475851	High	Cell_1053	1
Cell_1054	1	1	NA	0.397584132345236	-4.34491729358313	0.76970536634326	Medium	Cell_1054	1
Cell_1055	3	1	NA	3.42741388460272	6.57851489558318	0.777656795922667	Medium	Cell_1055	1
Cell_1056	2	1	NA	3.86326019587391	4.30068536313133	0.638219941873103	Low	Cell_1056	1
Cell_1057	3	1	NA	1.23089274272606	8.69903370488873	0.829598962911405	Medium	Cell_1057	1
Cell_1058	1	1	NA	-3.4388115837599	-3.23908433326101	0.62171762122307	Low	Cell_1058	1
Cell_1059	2	1	NA	2.47886961413583	1.18907132935973	0.644133102381602	Low	Cell_1059	1
Cell_106	2	1	NA	4.33224860716574	5.10243260276223	0.945175111060962	High	Cell_106	1
Cell_1060	1	1	NA	-2.30991155843611	-3.16012022720577	0.857890479266644	High	Cell_1060	1
Cell_1061	2	1	NA	1.65141847758585	0.727779735017917	0.86376681656111	High	Cell_1061	1
Cell_1062	1	1	NA	-7.11511219654452	-4.20398504919334	0.586521519348025	Low	Cell_1062	1
