Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Gene_11	Gene_12	Gene_13	Gene_14	Gene_15	Gene_16	Gene_17	Gene_18	Gene_19	Gene_20	Gene_21	Gene_22	Gene_23	Gene_24	Gene_25	Gene_26	Gene_27	Gene_28	Gene_29	Gene_30	Gene_31	Gene_32	Gene_33	Gene_34	Gene_35	Gene_36	Gene_37	Gene_38	Gene_39	Gene_40	Gene_41	Gene_42	Gene_43	Gene_44	Gene_45	Gene_46	Gene_47	Gene_48	Gene_49	Gene_50
Cell_1	7.1151	7.284	6.609	6.4579	6.6933	6.6903	6.9693	7.4548	7.1306	6.8591	6.8253	7.2875	6.3187	6.4266	6.0099	6.8073	6.8713	5.95	5.8843	6.209	6.746	6.8574	6.7429	7.1149	7.2273	6.9337	6.7368	8.4421	6.9063	6.8745	6.8113	6.9927	6.8382	6.998	6.6007	6.9505	7.4325	6.8622	6.9607	7.3695	7.3971	7.1735	6.8552	6.7336	6.8699	6.9418	7.4697	7.5127	6.8234	7.0393
Cell_2	9.3293	9.2212	8.631	8.7221	8.6554	8.4474	8.3946	8.5799	8.4751	8.7455	8.6503	8.0248	8.7266	8.8085	8.738	8.3855	8.2979	9.194	9.2211	9.8162	8.5683	8.7534	8.4494	8.1613	7.7065	8.3805	8.3997	8.3252	8.6841	8.6202	8.5749	7.6265	7.9237	7.6414	8.8622	8.5187	8.2534	8.3259	8.4277	8.6341	8.6396	8.6083	8.6089	9.15	8.5165	8.4153	8.5898	8.3965	8.4124	8.4386
Cell_3	9.5997	9.4961	10.273	10.143	10.025	10.512	10.587	9.4264	9.3632	9.4315	9.355	9.6607	10.025	9.9814	9.9529	10.306	9.9945	10.58	10.438	10.34	9.9998	10	10.297	10.313	9.7437	9.2126	9.274	8.7302	9.8677	9.591	9.4647	9.5971	9.5735	9.5716	9.4793	9.2572	9.0429	9.9252	9.9563	9.2534	9.4582	10.222	10.034	9.9834	9.4834	9.4047	9.5157	9.3655	10.053	10.017
Cell_4	6.9998	6.8697	7.0817	7.0796	7.0943	7.3964	7.221	7.4652	7.5801	7.0262	6.9238	6.9393	6.8279	7.0307	6.5377	6.674	6.5869	6.8681	6.7642	6.9487	6.6267	6.6547	7.2945	6.9668	6.971	7.0834	7.1132	7.8847	8.6603	7.1294	6.9699	7.8027	7.1976	7.0579	7.0947	7.3102	7.698	6.9239	6.9763	6.9009	6.9256	7.0814	7.014	6.8152	7.1079	6.9262	7.433	7.0855	9.7788	9.7699
Cell_5	7.4955	7.4101	7.5102	7.4146	7.5755	7.4651	7.6309	7.7096	7.9051	7.5886	7.51	7.7921	7.3675	7.2954	7.8314	7.4076	7.047	7.3449	7.3296	7.1607	7.0658	7.2146	7.5844	7.4778	7.4298	7.4966	7.4724	9.0655	7.7428	7.4881	7.8147	7.3252	6.9167	6.9752	7.2672	7.4811	8.4029	7.2311	7.3596	7.6962	7.4218	6.8342	6.8077	6.654	7.4814	7.3027	7.9078	8.1024	7.3954	7.3324
Cell_6	8.854	8.8075	8.3077	8.2493	8.1735	8.4608	8.5804	8.8743	8.7786	8.6439	8.6296	8.5769	8.547	8.5147	8.542	8.4223	8.6823	8.2177	8.17	8.02	8.3252	8.4953	8.6622	8.6818	9.0676	8.6206	8.7845	8.694	8.4001	8.5948	8.5156	8.9512	8.9078	8.6465	8.739	8.9663	8.5366	8.4672	8.4869	8.6561	8.6722	9.2725	9.2781	9.1512	8.6829	8.8021	8.6392	8.2581	8.9312	8.8253
Cell_7	9.6438	9.1561	9.2641	9.5136	9.3911	8.9367	8.805	9.0434	9.1588	9.2495	9.2206	11.04	12.373	12.65	12.442	13.122	13.183	12.426	12.655	12.618	12.964	13.021	8.8947	8.5929	7.1703	8.3545	8.4793	13.144	11.259	10.285	10.765	7.2782	7.3077	7.2584	9.3831	9.047	8.6565	12.458	12.63	8.538	8.908	12.064	12.163	12.161	9.0083	8.3979	9.81	9.6469	9.232	9.0462
Cell_8	8.0483	8.3685	9.1081	8.9252	8.9831	8.6947	8.3256	8.6469	8.8258	8.7109	8.8654	8.3849	8.7902	8.8255	9.0722	8.0779	8.4529	8.2722	8.3229	9.5553	8.3903	8.5947	8.4801	8.631	10.128	8.7347	8.826	7.7087	8.4182	8.6249	8.5883	7.4292	7.8981	7.8406	8.7075	8.5396	8.2862	7.9907	8.1698	8.6126	8.695	8.6183	8.4931	9.3537	8.6432	8.6862	8.9633	8.4493	8.2409	8.5603
Cell_9	7.8193	7.8133	7.2929	7.0312	7.0007	7.5802	7.4905	7.6981	7.7905	7.5694	7.4788	7.0826	7.0126	6.9106	6.6421	7.3082	7.6459	7.0215	7.0676	6.9917	7.1503	7.1841	7.6092	7.654	7.9051	7.2865	7.6412	8.1172	7.3439	7.3774	7.3107	7.1779	7.055	7.1156	7.5734	7.6154	7.0384	7.1805	7.0411	7.4968	7.4349	7.0517	7.014	7.0913	7.6925	7.7937	7.1692	7.2111	7.384	7.5125
Cell_10	6.693	6.9091	7.2205	7.0164	6.8017	5.8636	5.9857	5.8101	5.8792	6.8634	6.7764	6.1158	6.3463	6.0819	6.7183	5.6884	5.6761	5.9676	5.9411	6.2044	5.786	6.1132	6.0115	5.9892	7.3779	6.6426	6.3879	8.0011	5.9381	7.2637	7.0114	5.6213	5.8123	5.4451	7.0196	6.9089	6.2394	8.103	7.6824	5.6505	5.8241	5.4346	5.4948	5.6193	6.7157	6.7006	5.7621	5.9665	7.2894	7.1174
