	cell_id	n_genes	total_counts
G2	G2	805	6764.4223
G3	G3	805	7985.8505000000005
G4	G4	805	6024.359
G5	G5	805	6199.065100000001
G6	G6	805	7037.441999999999
G7	G7	805	8643.2009
G8	G8	805	6819.0183
G9	G9	805	6020.0668000000005
G10	G10	805	5256.859399999999
G11	G11	805	6567.803099999999
G12	G12	805	5672.6398
G13	G13	805	6279.744500000001
G14	G14	805	6915.0915
G15	G15	805	8046.0911
G16	G16	805	5960.080599999999
G17	G17	805	8527.9452
G18	G18	805	6202.054899999999
G19	G19	805	6750.1126
G20	G20	805	9559.7121
G21	G21	805	6696.855100000001
G22	G22	805	7318.020200000001
G23	G23	805	8424.4239
G24	G24	805	7899.255499999999
G25	G25	805	6997.542100000001
G26	G26	805	7513.0503
G27	G27	805	8475.5766
G28	G28	805	8399.182099999998
G29	G29	805	7720.8631000000005
G30	G30	805	7063.6365
G31	G31	805	5924.7071000000005
G32	G32	805	6903.111
G33	G33	805	5930.3229
G34	G34	805	7272.8018999999995
G35	G35	805	7107.9029
G36	G36	805	6841.1482
G37	G37	805	6425.2426
G38	G38	805	6760.8944
G39	G39	805	7318.7906
G40	G40	805	4396.5689
G41	G41	805	5836.4673999999995
G42	G42	805	8277.601200000001
G43	G43	805	6846.7965
G44	G44	805	6669.2999
G45	G45	805	6674.9032
G46	G46	805	6669.7711
G47	G47	805	6096.901400000001
G48	G48	805	6760.3804
G49	G49	805	6712.2796
G50	G50	805	7693.0258
G51	G51	805	6211.247300000001
G52	G52	805	7039.3425
G53	G53	805	7603.887999999999
G54	G54	805	6705.2933
G55	G55	805	9059.5199
G56	G56	805	3802.065
G57	G57	805	6762.7128999999995
G58	G58	805	7000.3472
G59	G59	805	6270.9208
G60	G60	805	6780.233200000001
G61	G61	805	6908.529
G62	G62	805	6668.2780999999995
G63	G63	805	8626.2376
G64	G64	805	6836.616999999999
G65	G65	805	7098.093500000001
G66	G66	805	6954.7348999999995
G67	G67	805	6220.427299999999
G68	G68	805	7586.423400000001
G69	G69	805	6598.5859
G70	G70	805	6153.955499999999
G71	G71	805	6674.4197
G72	G72	805	6714.379999999999
G73	G73	805	7916.0680999999995
G74	G74	805	7097.4006
G75	G75	805	5378.126
G76	G76	805	6941.7253
G77	G77	805	7751.9841
G78	G78	805	7478.840700000001
G79	G79	805	6877.5821
G80	G80	805	7656.6318
G81	G81	805	7627.4811
G82	G82	805	6525.1273
G83	G83	805	6323.6343
G84	G84	805	7985.8212
G85	G85	805	7063.9822
G86	G86	805	8009.6479
G87	G87	805	7606.6718
G88	G88	805	5930.2942
G89	G89	805	7258.8015
G90	G90	805	6557.2909
G91	G91	805	6454.7937
G92	G92	805	8125.5039
G93	G93	805	7791.8151
G94	G94	805	6707.4971000000005
G95	G95	805	6796.6255
G96	G96	805	6310.0383999999995
G97	G97	805	7268.3318
G98	G98	805	6814.975
G99	G99	805	6821.946599999999
G100	G100	805	6356.0102
G101	G101	805	7333.3514
G102	G102	805	6851.4033
G103	G103	805	5888.2298
G104	G104	805	5538.713299999999
G105	G105	805	6284.7842
G106	G106	805	5962.339
G107	G107	805	7656.1546
G108	G108	805	6648.4249
G109	G109	805	7278.937800000001
G110	G110	805	7227.091
G111	G111	805	7005.8414999999995
G112	G112	805	6348.459699999999
G113	G113	805	8596.6042
G114	G114	805	4945.8532000000005
G115	G115	805	7591.2304
G116	G116	805	8481.3056
G117	G117	805	6496.661599999999
G118	G118	805	7350.793299999999
G119	G119	805	7441.6908
G120	G120	805	6839.2973
G121	G121	805	7192.9465
G122	G122	805	7207.2278
G123	G123	805	4305.2835
G124	G124	805	6740.7124
G125	G125	805	8263.484199999999
G126	G126	805	7277.5064999999995
G127	G127	805	7527.4299
G128	G128	805	5894.697700000001
G129	G129	805	6640.649299999999
G130	G130	805	7711.3624
G131	G131	805	4959.1485
G132	G132	805	6012.2474999999995
G133	G133	805	6949.2558
G134	G134	805	6649.0740000000005
G135	G135	805	6311.8948
G136	G136	805	3699.1572
G137	G137	805	6195.4944
G138	G138	805	6512.9436
G139	G139	805	8009.013
G140	G140	805	6486.6057
G141	G141	805	4195.826
G142	G142	805	6590.2205
G143	G143	805	5747.7011999999995
G144	G144	805	7170.432599999999
G145	G145	805	6952.438099999999
G146	G146	805	5863.2486
G147	G147	805	7501.6559
G148	G148	805	6049.4235
G149	G149	805	6425.1661
G150	G150	805	5513.3857
G151	G151	805	6357.1321
G152	G152	805	6729.6548
G153	G153	805	5871.0916
G154	G154	805	7849.3112
G155	G155	805	7080.1987
G156	G156	805	6852.540999999999
G157	G157	805	5799.4169
G158	G158	805	6100.1982
G159	G159	805	8475.4486
G160	G160	805	6176.8256
G161	G161	805	7231.0698999999995
G162	G162	805	7258.6759999999995
G163	G163	805	6497.552
G164	G164	805	6832.5075
G165	G165	805	6455.7959
G166	G166	805	6619.1216
G167	G167	805	6028.3321000000005
G168	G168	805	7539.6602
G169	G169	805	6231.533
G170	G170	805	7278.1048
G171	G171	805	5472.2749
G172	G172	805	7878.4884
G173	G173	805	6879.1237
G174	G174	805	6752.704
G175	G175	805	6214.6342
G176	G176	805	6447.4535
G177	G177	805	6852.205400000001
G178	G178	805	7515.801299999999
G179	G179	805	7965.5684
G180	G180	805	6058.4283000000005
G181	G181	805	6559.7872
G182	G182	805	6232.9102
G183	G183	805	9322.9961
G184	G184	805	5672.3014
G185	G185	805	6312.0054
G186	G186	805	6370.7922
G187	G187	805	6661.011
G188	G188	805	5807.7588
G189	G189	805	6745.939
G190	G190	805	4230.7441
G191	G191	805	6766.7907
G192	G192	805	7402.0147
G193	G193	805	7250.286400000001
G194	G194	805	7676.004800000001
G195	G195	805	7833.4684
G196	G196	805	6435.336499999999
G197	G197	805	6327.155400000001
G198	G198	805	6250.015899999999
G199	G199	805	7292.8455
G200	G200	805	7035.3228
G201	G201	805	8165.759899999999
G202	G202	805	8117.0479
G203	G203	805	7311.325999999999
G204	G204	805	7509.4941
G205	G205	805	6863.2509
G206	G206	805	6126.3419
G207	G207	805	7166.522
G208	G208	805	7309.2301
G209	G209	805	6811.816999999999
G210	G210	805	7590.0257
G211	G211	805	6976.5527
G212	G212	805	6555.158299999999
G213	G213	805	6429.3095
G214	G214	805	6626.9083
G215	G215	805	6606.8904999999995
G216	G216	805	7901.7395
G217	G217	805	5886.5069
G218	G218	805	3936.9809
G219	G219	805	7004.2296
G220	G220	805	7344.663500000001
G221	G221	805	6441.3186000000005
G222	G222	805	5521.731400000001
G223	G223	805	7203.773300000001
G224	G224	805	6568.9400000000005
G225	G225	805	6351.6144
G226	G226	805	5509.1387
G227	G227	805	7310.3614
G228	G228	805	6853.8944
G229	G229	805	5701.4429
G230	G230	805	6988.459500000001
G231	G231	805	6250.895600000001
G232	G232	805	5981.4445
G233	G233	805	6147.7436
G234	G234	805	6899.3616
G235	G235	805	7183.6371
G236	G236	805	5957.1723999999995
G237	G237	805	6926.6911
G238	G238	805	4800.5836
G239	G239	805	6074.184
G240	G240	805	8868.417300000001
G241	G241	805	6485.710499999999
G242	G242	805	8228.644199999999
G243	G243	805	7030.110699999999
G244	G244	805	8062.099
G245	G245	805	6933.4727
G246	G246	805	6754.7426
G247	G247	805	6732.9852
G248	G248	805	6694.1986
G249	G249	805	6879.7921
G250	G250	805	6114.026
G251	G251	805	4695.6181
G252	G252	805	6753.6719
G253	G253	805	6907.8116
G254	G254	805	6466.6275000000005
G255	G255	805	6529.3561
G256	G256	805	6524.7778
G257	G257	805	7392.5298
G258	G258	805	7582.8793000000005
G259	G259	805	6008.6448
G260	G260	805	7472.334
G261	G261	805	7088.2327000000005
G262	G262	805	4737.0574
G263	G263	805	6285.598599999999
G264	G264	805	6740.6756000000005
G265	G265	805	6968.4517
G266	G266	805	4828.808999999999
G267	G267	805	7067.414500000001
G268	G268	805	8841.4681
G269	G269	805	6598.3308
G270	G270	805	4031.6040000000003
G271	G271	805	4664.867
G272	G272	805	5703.8967
G273	G273	805	5815.3548
G274	G274	805	8111.683799999999
G275	G275	805	6209.9631
G276	G276	805	6605.764
G277	G277	805	7239.0537
G278	G278	805	7896.946400000001
G279	G279	805	5694.1577
G280	G280	805	7376.0977
G281	G281	805	10042.408800000001
G282	G282	805	6953.5537
G283	G283	805	7366.813099999999
G284	G284	805	6784.1462
G285	G285	805	5647.751399999999
G286	G286	805	7069.9067
G287	G287	805	5981.3742
G288	G288	805	7519.4861
G289	G289	805	7698.1984
G290	G290	805	7430.2508
G291	G291	805	7032.0977
G292	G292	805	6139.2826000000005
G293	G293	805	10071.828999999998
G294	G294	805	5258.777
G295	G295	805	7637.4423
G296	G296	805	6685.9269
G297	G297	805	8673.6169
G298	G298	805	6192.9721
G299	G299	805	7161.9992
G300	G300	805	6653.268900000001
G301	G301	805	6128.6377
G302	G302	805	6441.5901
G303	G303	805	7370.5671
G304	G304	805	6665.801100000001
G305	G305	805	8464.3681
G306	G306	805	6866.980799999999
G307	G307	805	6894.3978
G308	G308	805	6655.1927
G309	G309	805	7213.637699999999
G310	G310	805	5041.9055
G311	G311	805	6156.2359
G312	G312	805	5542.6841
G313	G313	805	8408.1438
G314	G314	805	6209.1652
G315	G315	805	6688.5544
G316	G316	805	8882.915099999998
G317	G317	805	6306.111500000001
G318	G318	805	7214.5879
G319	G319	805	3889.1961
G320	G320	805	7634.383099999999
G321	G321	805	6158.3342
G322	G322	805	6440.5963
G323	G323	805	6569.7343
G324	G324	805	6726.9962
G325	G325	805	8888.2639
G326	G326	805	7583.2149
G327	G327	805	6634.8125
G328	G328	805	6681.304099999999
G329	G329	805	7233.6021
G330	G330	805	7433.9418000000005
G331	G331	805	7635.7653
G332	G332	805	7185.3150000000005
G333	G333	805	8901.319499999998
G334	G334	805	6308.3603
G335	G335	805	7026.7276
G336	G336	805	10324.4697
G337	G337	805	7517.1107
G338	G338	805	10021.139500000001
G339	G339	805	5414.3684
G340	G340	805	7125.389999999999
G341	G341	805	7051.9117
G342	G342	805	7773.1807
G343	G343	805	6011.2941
G344	G344	805	6199.3739000000005
G345	G345	805	6618.409299999999
G346	G346	805	6480.2065
G347	G347	805	5599.768999999999
G348	G348	805	8826.3735
G349	G349	805	7441.3202
G350	G350	805	8125.1159
G351	G351	805	7008.467000000001
G352	G352	805	5328.106900000001
G353	G353	805	7747.2925
G354	G354	805	5930.6314
G355	G355	805	5752.758400000001
G356	G356	805	6394.9762
G357	G357	805	6054.0228
G358	G358	805	5471.6147
G359	G359	805	5613.5147
G360	G360	805	7292.4369
G361	G361	805	7624.6026
G362	G362	805	4874.5823
G363	G363	805	6872.1539999999995
G364	G364	805	5220.4784
G365	G365	805	10053.174900000002
G366	G366	805	7027.9671
G367	G367	805	6636.8626
G368	G368	805	7611.7586
G369	G369	805	6087.6149000000005
G370	G370	805	6811.7623
G371	G371	805	6341.6595
G372	G372	805	5635.5927
G373	G373	805	4220.9002
G374	G374	805	6040.6929
G375	G375	805	7020.997599999999
G376	G376	805	5158.5281
G377	G377	805	7520.377199999999
