G1	gene_name	highly_variable
7.1151	7.1151	True
7.284	7.284	True
6.609	6.609	False
6.4579	6.4579	False
6.6933	6.6933	False
6.6903	6.6903	False
6.9693	6.9693	False
7.4548	7.4548	False
7.1306	7.1306	False
6.8591	6.8591	False
6.8253	6.8253	False
7.2875	7.2875	False
6.3187	6.3187	False
6.4266	6.4266	False
6.0099	6.0099	False
6.8073	6.8073	False
6.8713	6.8713	False
5.95	5.95	False
5.8843	5.8843	False
6.209	6.209	False
6.746	6.746	False
6.8574	6.8574	False
6.7429	6.7429	False
7.1149	7.1149	False
7.2273	7.2273	False
6.9337	6.9337	True
6.7368	6.7368	False
8.4421	8.4421	True
6.9063	6.9063	True
6.8745	6.8745	False
6.8113	6.8113	True
6.9927	6.9927	False
6.8382	6.8382	False
6.998	6.998	False
6.6007	6.6007	False
6.9505	6.9505	False
7.4325	7.4325	True
6.8622	6.8622	False
6.9607	6.9607	False
7.3695	7.3695	False
7.3971	7.3971	False
7.1735	7.1735	False
6.8552	6.8552	False
6.7336	6.7336	True
6.8699	6.8699	True
6.9418	6.9418	True
7.4697	7.4697	False
7.5127	7.5127	False
6.8234	6.8234	False
7.0393	7.0393	False
6.9724	6.9724	False
7.0413	7.0413	True
7.0398	7.0398	True
6.9094	6.9094	True
7.1721	7.1721	True
6.8102	6.8102	False
7.1731	7.1731	False
6.9973	6.9973	False
7.7889	7.7889	False
7.5075	7.5075	False
6.8332	6.8332	False
6.9144	6.9144	True
7.0914	7.0914	False
7.1769	7.1769	False
7.0936	7.0936	False
7.2791	7.2791	False
7.1048	7.1048	False
7.1474	7.1474	True
7.2291	7.2291	False
7.2295	7.2295	True
7.1632	7.1632	False
7.4343	7.4343	False
7.5499	7.5499	False
7.6103	7.6103	False
7.5266	7.5266	False
7.9494	7.9494	False
7.5458	7.5458	False
7.2847	7.2847	True
6.8984	6.8984	False
7.521	7.521	False
7.4886	7.4886	True
7.6751	7.6751	False
8.2038	8.2038	False
8.6721	8.6721	True
6.8772	6.8772	False
6.9061	6.9061	False
6.7125	6.7125	False
6.9412	6.9412	False
6.3726	6.3726	True
6.6199	6.6199	False
6.7764	6.7764	True
6.7581	6.7581	False
7.0062	7.0062	True
6.8722	6.8722	False
6.8111	6.8111	False
6.9705	6.9705	False
6.7274	6.7274	False
6.7708	6.7708	False
6.6579	6.6579	False
6.7698	6.7698	False
6.8449	6.8449	False
7.1692	7.1692	True
6.4944	6.4944	False
7.0557	7.0557	True
6.8751	6.8751	False
7.1025	7.1025	False
6.4834	6.4834	False
6.465	6.465	False
6.4354	6.4354	False
6.8412	6.8412	True
6.4565	6.4565	False
7.0541	7.0541	True
6.8244	6.8244	False
6.5005	6.5005	False
6.8331	6.8331	True
6.8033	6.8033	False
6.6147	6.6147	False
6.7237	6.7237	False
6.6892	6.6892	False
6.655	6.655	False
6.6699	6.6699	False
6.5949	6.5949	False
6.7904	6.7904	False
7.0607	7.0607	False
6.7453	6.7453	False
6.5664	6.5664	False
6.4227	6.4227	False
6.4188	6.4188	False
7.2699	7.2699	False
7.1199	7.1199	False
8.375	8.375	False
8.1349	8.1349	True
7.2597	7.2597	False
6.8941	6.8941	False
9.4493	9.4493	False
8.3923	8.3923	False
7.0411	7.0411	False
7.0035	7.0035	False
6.6327	6.6327	True
6.6175	6.6175	False
6.8109	6.8109	False
6.5969	6.5969	True
6.8924	6.8924	False
6.6056	6.6056	True
7.0639	7.0639	False
7.2403	7.2403	False
6.6254	6.6254	False
6.8709	6.8709	True
6.8229	6.8229	False
6.9228	6.9228	False
6.6697	6.6697	False
6.8591	6.8591	False
6.8607	6.8607	False
6.9727	6.9727	True
6.975	6.975	False
6.9369	6.9369	False
7.0731	7.0731	True
7.1359	7.1359	False
7.1589	7.1589	False
7.0251	7.0251	False
7.4963	7.4963	False
7.2787	7.2787	False
8.3519	8.3519	True
9.1348	9.1348	True
6.8744	6.8744	True
7.1299	7.1299	True
7.0936	7.0936	False
6.9067	6.9067	False
6.891	6.891	False
7.3102	7.3102	False
7.0417	7.0417	False
6.9148	6.9148	False
6.6311	6.6311	True
6.8226	6.8226	False
6.634	6.634	False
6.7428	6.7428	False
6.8488	6.8488	False
6.7771	6.7771	True
6.5938	6.5938	True
6.519	6.519	True
6.5855	6.5855	False
6.7915	6.7915	False
6.9646	6.9646	True
6.8643	6.8643	False
6.6788	6.6788	True
6.5191	6.5191	False
6.6471	6.6471	False
6.3358	6.3358	True
6.5829	6.5829	False
6.884	6.884	True
6.6146	6.6146	False
6.904	6.904	False
7.0361	7.0361	False
6.835	6.835	True
6.6524	6.6524	False
6.9473	6.9473	False
7.0454	7.0454	False
7.2295	7.2295	False
7.0185	7.0185	False
7.4541	7.4541	True
7.1348	7.1348	False
7.2072	7.2072	False
6.9345	6.9345	False
6.9179	6.9179	False
7.1927	7.1927	False
6.9463	6.9463	False
7.2314	7.2314	False
7.1165	7.1165	False
7.4285	7.4285	False
6.8798	6.8798	False
6.7057	6.7057	False
6.7453	6.7453	False
6.7716	6.7716	False
6.8045	6.8045	True
6.791	6.791	False
6.6696	6.6696	False
6.9233	6.9233	False
6.9312	6.9312	False
7.0715	7.0715	False
6.6665	6.6665	False
6.82	6.82	False
6.9758	6.9758	False
6.9749	6.9749	True
6.6899	6.6899	False
6.7981	6.7981	False
7.1998	7.1998	True
6.5544	6.5544	False
6.7446	6.7446	False
6.8496	6.8496	False
6.8213	6.8213	False
6.9552	6.9552	True
6.7226	6.7226	False
6.6327	6.6327	False
6.6921	6.6921	False
6.7458	6.7458	False
6.777	6.777	False
6.7604	6.7604	True
6.9307	6.9307	False
6.8288	6.8288	True
6.6719	6.6719	False
6.7822	6.7822	False
6.832	6.832	False
6.9161	6.9161	False
6.8682	6.8682	False
7.0917	7.0917	False
6.9602	6.9602	True
7.2114	7.2114	True
6.9601	6.9601	True
6.9138	6.9138	False
7.1539	7.1539	True
7.1314	7.1314	False
7.0693	7.0693	False
6.9196	6.9196	False
7.2647	7.2647	False
6.9462	6.9462	False
7.1097	7.1097	False
7.3295	7.3295	False
7.1787	7.1787	False
7.2913	7.2913	True
6.6457	6.6457	False
6.8403	6.8403	True
7.013	7.013	True
8.4645	8.4645	False
8.7125	8.7125	False
9.4036	9.4036	False
9.9524	9.9524	False
8.4421	8.4421	False
8.016	8.016	False
8.7	8.7	True
7.8028	7.8028	False
7.8165	7.8165	False
9.2627	9.2627	False
8.1852	8.1852	False
7.8154	7.8154	False
7.9036	7.9036	False
8.0062	8.0062	False
8.0863	8.0863	False
8.0831	8.0831	True
7.8747	7.8747	False
7.6232	7.6232	False
7.7372	7.7372	False
7.1449	7.1449	False
6.995	6.995	False
7.3538	7.3538	False
7.3081	7.3081	False
6.771	6.771	False
6.8663	6.8663	False
8.1784	8.1784	False
8.1231	8.1231	True
8.5867	8.5867	True
7.9793	7.9793	False
8.0271	8.0271	True
7.7375	7.7375	False
8.0477	8.0477	False
8.0106	8.0106	False
8.0338	8.0338	False
8.5973	8.5973	False
8.4123	8.4123	False
8.2846	8.2846	False
8.3834	8.3834	False
7.9835	7.9835	False
8.1795	8.1795	False
7.3338	7.3338	False
7.6877	7.6877	False
7.2077	7.2077	False
7.2367	7.2367	False
6.9481	6.9481	False
6.9983	6.9983	True
6.9364	6.9364	False
6.6492	6.6492	True
6.6647	6.6647	False
7.3049	7.3049	True
7.2805	7.2805	False
6.7395	6.7395	False
6.9597	6.9597	False
6.9637	6.9637	False
6.8372	6.8372	False
6.7276	6.7276	False
6.9398	6.9398	False
6.7602	6.7602	False
6.7709	6.7709	False
8.0247	8.0247	False
7.5559	7.5559	True
7.4025	7.4025	False
6.7869	6.7869	False
6.8437	6.8437	False
6.9276	6.9276	False
6.8518	6.8518	True
6.9829	6.9829	True
