Gene1	Gene2	Status	Description
G4	G55	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G23	G268	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G60	G282	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G128	G260	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G259	G271	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G23	G333	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G305	G309	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G188	G281	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G219	G281	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G150	G209	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G69	G92	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G10	G274	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G3	G232	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G279	G281	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G77	G142	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G4	G268	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G6	G224	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G188	G224	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G77	G268	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G289	G305	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G283	G333	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G19	G23	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G192	G255	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G4	G333	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G2	G92	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G254	G281	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G187	G313	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G77	G333	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G110	G281	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G243	G305	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G246	G305	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G4	G56	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G273	G281	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G247	G268	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G203	G283	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G219	G274	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G247	G333	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G11	G55	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G8	G84	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G10	G259	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G99	G268	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G309	G323	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G19	G210	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G273	G279	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G204	G268	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G263	G330	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G145	G176	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G99	G333	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G204	G277	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G150	G283	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G204	G333	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G306	G333	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G78	G313	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G83	G192	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
G110	G274	False Positive	Interação predita pelo SCENIC+ que NÃO está no gold standard
