Gene1	Gene2	Status	Description
G82	G57	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G323	G309	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G259	G254	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G259	G188	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G281	G110	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G268	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G192	G83	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G268	G4	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G281	G219	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G268	G77	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G55	G11	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G210	G19	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G55	G23	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G92	G2	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G224	G6	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G89	G19	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G204	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G305	G246	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G224	G188	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G279	G273	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G99	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G274	G10	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G268	G23	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G92	G69	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G271	G259	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G56	G4	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G330	G263	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G254	G188	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G274	G110	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G305	G289	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G4	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G259	G10	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G274	G219	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G281	G254	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G268	G247	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G260	G128	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G281	G188	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G77	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G283	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G306	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G283	G150	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G281	G273	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G210	G89	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G277	G204	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G313	G187	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G281	G279	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G283	G203	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G142	G77	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G176	G145	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G313	G78	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G232	G3	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G23	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G305	G243	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G23	G19	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G209	G150	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G268	G204	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G84	G8	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G255	G192	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G309	G305	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G268	G99	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G55	G4	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G333	G247	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G332	G284	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G236	G106	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G282	G60	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
G299	G216	False Negative	Interação no gold standard que NÃO foi predita pelo SCENIC+
