TF	Gene	Region	importance	rho	importance_x_rho	importance_x_abs_rho	is_extended	eRegulon_name	Gene_signature_name	Region_signature_name
7.0361	7.0138	chr1:364000-365000	0.29291777361078913	0.10118467613279651	0.029638790056347508	0.029638790056347508	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	7.2342	chr3:40000-41000	0.020917778218428395	-0.07149383514710589	0.001495492187592042	0.001495492187592042	False	7.0361_direct_-/-	7.0361_direct_-/-_(4g)	7.0361_direct_-/-_(12r)
7.0361	7.2342	chr2:260000-261000	0.10937943658428065	0.034495009073918975	0.0037730446574749063	0.0037730446574749063	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	7.2342	chr3:439000-440000	0.1757041325838853	0.31895845709861437	0.05604231903480643	0.05604231903480643	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	7.2342	chr2:14000-15000	0.09767836497113283	0.3154297203576498	0.03081065934783689	0.03081065934783689	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	6.9383	chr1:176000-177000	0.28472179108655804	0.28269795871415637	0.08049026914160844	0.08049026914160844	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	9.4036	chr4:0-1000	0.5128827643833013	0.28946635093410067	0.14846230226302834	0.14846230226302834	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	9.4036	chr2:239000-240000	0.050102352638098833	0.7243816684400148	0.036293225796756014	0.036293225796756014	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	7.2342	chr1:174000-175000	0.06832140357558222	0.27952869610143677	0.01909779285730254	0.01909779285730254	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	7.2342	chr4:387000-388000	0.13002982468431837	0.08895236438787425	0.011566460346610893	0.011566460346610893	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	9.4036	chr3:410000-411000	0.4973167556547511	0.3129383997931746	0.15562950970493103	0.15562950970493103	False	7.0361_direct_+/+	7.0361_direct_+/+_(4g)	7.0361_direct_+/+_(12r)
7.0361	7.0138	chr2:193000-194000	0.5812267792743396	-0.00012411385074864723	7.213829373397232e-05	7.213829373397232e-05	False	7.0361_direct_-/-	7.0361_direct_-/-_(4g)	7.0361_direct_-/-_(12r)
7.6587	8.0338	chr2:12000-13000	0.38360518831673873	0.013723922494169982	0.005264567872820403	0.005264567872820403	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	7.1855	chr4:326000-327000	0.17736804227071487	0.0005535046641038655	9.817403865981225e-05	9.817403865981225e-05	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	7.1855	chr4:126000-127000	0.17774931701518112	0.36606210039304593	0.06506728833000658	0.06506728833000658	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	6.802	chr2:339000-340000	0.14360461693427354	0.18194282540696027	0.026127829746505942	0.026127829746505942	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	7.1855	chr4:77000-78000	0.09006201271264119	0.010781774951733658	0.000971028352767873	0.000971028352767873	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	7.1855	chr1:124000-125000	0.3595077344098183	0.31390819089637356	0.11285242252184001	0.11285242252184001	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	8.0338	chr2:301000-302000	0.13148676575265583	-0.011068599258944212	0.0014553743179708176	0.0014553743179708176	False	7.6587_direct_-/-	7.6587_direct_-/-_(6g)	7.6587_direct_-/-_(18r)
7.6587	8.0338	chr2:66000-67000	0.11868824093633706	0.2854121400351553	0.03387506484264809	0.03387506484264809	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	6.802	chr3:65000-66000	0.01713782884802837	0.43340008577588063	0.0074275364927478575	0.0074275364927478575	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	8.0338	chr3:455000-456000	1.1928340473719545	0.08520799070849872	0.10163899242525042	0.10163899242525042	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	6.9196	chr3:391000-392000	0.7660530301876584	-0.15962483066944866	0.12228108522752301	0.12228108522752301	False	7.6587_direct_-/-	7.6587_direct_-/-_(6g)	7.6587_direct_-/-_(18r)
7.6587	8.0338	chr1:386000-387000	0.13168359878054414	0.16249123163121537	0.021397430151481427	0.021397430151481427	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	8.5945	chr3:280000-281000	0.273153987682236	-0.067173762169845	0.01834878100431129	0.01834878100431129	False	7.6587_direct_-/-	7.6587_direct_-/-_(6g)	7.6587_direct_-/-_(18r)
7.6587	7.1855	chr2:22000-23000	0.16206754663477288	0.32950556927605074	0.053402159215063735	0.053402159215063735	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	6.9196	chr1:117000-118000	0.10117930716679004	0.30992436227326176	0.031357932248917864	0.031357932248917864	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	6.9196	chr2:369000-370000	0.31655214893494055	0.3051149010808228	0.09658477760920627	0.09658477760920627	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	6.9196	chr3:310000-311000	0.026781355206390106	0.08669246339843834	0.00232174165599055	0.00232174165599055	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
7.6587	6.9196	chr3:354000-355000	0.21442341179841448	0.38435754595214233	0.08241525635352423	0.08241525635352423	False	7.6587_direct_+/+	7.6587_direct_+/+_(6g)	7.6587_direct_+/+_(18r)
6.7521	7.6324	chr3:479000-480000	0.16208199627560138	0.14067253226295603	0.022800484850323856	0.022800484850323856	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	6.6933	chr4:143000-144000	0.18334032162474442	0.31652345066384047	0.05803151124648243	0.05803151124648243	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	6.6933	chr2:376000-377000	0.008016245059953409	0.3769160181081931	0.003021451168177112	0.003021451168177112	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	7.6324	chr2:496000-497000	0.4087104185605234	0.21073493558290887	0.08612956372741562	0.08612956372741562	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	7.6232	chr3:387000-388000	0.03639207115612838	0.24267088837543108	0.008831296237279575	0.008831296237279575	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	6.7458	chr3:301000-302000	0.1643007952486229	0.36545379001666745	0.060044348326361706	0.060044348326361706	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	7.5236	chr1:373000-374000	1.1823861181143993	0.36211710883319326	0.4281622426160888	0.4281622426160888	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	6.7376	chr2:431000-432000	0.319271379418718	0.008416930111537518	0.0026872848871815277	0.0026872848871815277	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	6.8968	chr1:91000-92000	0.05839858845415399	0.024343721873621854	0.0014216389951400292	0.0014216389951400292	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	6.8968	chr3:244000-245000	0.3855600267468546	0.1670389544895685	0.06440354376076465	0.06440354376076465	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	6.7376	chr3:423000-424000	0.250102300486341	-0.09060434747146895	0.02266035573667818	0.02266035573667818	False	6.7521_direct_-/-	6.7521_direct_-/-_(13g)	6.7521_direct_-/-_(31r)
6.7521	7.5236	chr4:153000-154000	0.21899237811555616	0.4513321090316728	0.09883829187675551	0.09883829187675551	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
6.7521	6.7376	chr1:226000-227000	0.13953237047050404	-0.13060563628768596	0.018223714028029303	0.018223714028029303	False	6.7521_direct_-/-	6.7521_direct_-/-_(13g)	6.7521_direct_-/-_(31r)
6.7521	6.8968	chr1:214000-215000	0.4555994396174848	0.32827300482230337	0.1495609970385893	0.1495609970385893	False	6.7521_direct_+/+	6.7521_direct_+/+_(13g)	6.7521_direct_+/+_(31r)
