gene_id,gene_short_name,gene_type,chromosome
GENE_000001,Gene_1,protein_coding,chr1
GENE_000002,Gene_2,protein_coding,chr2
GENE_000003,Gene_3,protein_coding,chr3
GENE_000004,Gene_4,protein_coding,chr4
GENE_000005,Gene_5,protein_coding,chr5
GENE_000006,Gene_6,protein_coding,chr6
GENE_000007,Gene_7,protein_coding,chr7
GENE_000008,Gene_8,protein_coding,chr8
GENE_000009,Gene_9,protein_coding,chr9
GENE_000010,Gene_10,protein_coding,chr10
GENE_000011,Gene_11,protein_coding,chr11
GENE_000012,Gene_12,protein_coding,chr12
GENE_000013,Gene_13,protein_coding,chr13
GENE_000014,Gene_14,protein_coding,chr14
GENE_000015,Gene_15,protein_coding,chr15
GENE_000016,Gene_16,protein_coding,chr16
GENE_000017,Gene_17,protein_coding,chr17
GENE_000018,Gene_18,protein_coding,chr18
GENE_000019,Gene_19,protein_coding,chr19
GENE_000020,Gene_20,protein_coding,chr20
GENE_000021,Gene_21,protein_coding,chr21
GENE_000022,Gene_22,protein_coding,chr22
GENE_000023,Gene_23,protein_coding,chr1
GENE_000024,Gene_24,protein_coding,chr2
GENE_000025,Gene_25,protein_coding,chr3
GENE_000026,Gene_26,protein_coding,chr4
GENE_000027,Gene_27,protein_coding,chr5
GENE_000028,Gene_28,protein_coding,chr6
GENE_000029,Gene_29,protein_coding,chr7
GENE_000030,Gene_30,protein_coding,chr8
GENE_000031,Gene_31,protein_coding,chr9
GENE_000032,Gene_32,protein_coding,chr10
GENE_000033,Gene_33,protein_coding,chr11
GENE_000034,Gene_34,protein_coding,chr12
GENE_000035,Gene_35,protein_coding,chr13
GENE_000036,Gene_36,protein_coding,chr14
GENE_000037,Gene_37,protein_coding,chr15
GENE_000038,Gene_38,protein_coding,chr16
GENE_000039,Gene_39,protein_coding,chr17
GENE_000040,Gene_40,protein_coding,chr18
GENE_000041,Gene_41,protein_coding,chr19
GENE_000042,Gene_42,protein_coding,chr20
GENE_000043,Gene_43,protein_coding,chr21
GENE_000044,Gene_44,protein_coding,chr22
GENE_000045,Gene_45,protein_coding,chr1
GENE_000046,Gene_46,protein_coding,chr2
GENE_000047,Gene_47,protein_coding,chr3
GENE_000048,Gene_48,protein_coding,chr4
GENE_000049,Gene_49,protein_coding,chr5
GENE_000050,Gene_50,protein_coding,chr6
GENE_000051,Gene_51,protein_coding,chr7
GENE_000052,Gene_52,protein_coding,chr8
GENE_000053,Gene_53,protein_coding,chr9
GENE_000054,Gene_54,protein_coding,chr10
GENE_000055,Gene_55,protein_coding,chr11
GENE_000056,Gene_56,protein_coding,chr12
GENE_000057,Gene_57,protein_coding,chr13
GENE_000058,Gene_58,protein_coding,chr14
GENE_000059,Gene_59,protein_coding,chr15
GENE_000060,Gene_60,protein_coding,chr16
GENE_000061,Gene_61,protein_coding,chr17
GENE_000062,Gene_62,protein_coding,chr18
GENE_000063,Gene_63,protein_coding,chr19
GENE_000064,Gene_64,protein_coding,chr20
GENE_000065,Gene_65,protein_coding,chr21
GENE_000066,Gene_66,protein_coding,chr22
GENE_000067,Gene_67,protein_coding,chr1
GENE_000068,Gene_68,protein_coding,chr2
GENE_000069,Gene_69,protein_coding,chr3
GENE_000070,Gene_70,protein_coding,chr4
GENE_000071,Gene_71,protein_coding,chr5
GENE_000072,Gene_72,protein_coding,chr6
GENE_000073,Gene_73,protein_coding,chr7
GENE_000074,Gene_74,protein_coding,chr8
GENE_000075,Gene_75,protein_coding,chr9
GENE_000076,Gene_76,protein_coding,chr10
GENE_000077,Gene_77,protein_coding,chr11
GENE_000078,Gene_78,protein_coding,chr12
GENE_000079,Gene_79,protein_coding,chr13
GENE_000080,Gene_80,protein_coding,chr14
GENE_000081,Gene_81,protein_coding,chr15
GENE_000082,Gene_82,protein_coding,chr16
GENE_000083,Gene_83,protein_coding,chr17
GENE_000084,Gene_84,protein_coding,chr18
GENE_000085,Gene_85,protein_coding,chr19
GENE_000086,Gene_86,protein_coding,chr20
GENE_000087,Gene_87,protein_coding,chr21
GENE_000088,Gene_88,protein_coding,chr22
GENE_000089,Gene_89,protein_coding,chr1
GENE_000090,Gene_90,protein_coding,chr2
GENE_000091,Gene_91,protein_coding,chr3
GENE_000092,Gene_92,protein_coding,chr4
GENE_000093,Gene_93,protein_coding,chr5
GENE_000094,Gene_94,protein_coding,chr6
GENE_000095,Gene_95,protein_coding,chr7
GENE_000096,Gene_96,protein_coding,chr8
GENE_000097,Gene_97,protein_coding,chr9
GENE_000098,Gene_98,protein_coding,chr10
GENE_000099,Gene_99,protein_coding,chr11
GENE_000100,Gene_100,protein_coding,chr12
GENE_000101,Gene_101,protein_coding,chr13
GENE_000102,Gene_102,protein_coding,chr14
GENE_000103,Gene_103,protein_coding,chr15
GENE_000104,Gene_104,protein_coding,chr16
GENE_000105,Gene_105,protein_coding,chr17
GENE_000106,Gene_106,protein_coding,chr18
GENE_000107,Gene_107,protein_coding,chr19
GENE_000108,Gene_108,protein_coding,chr20
GENE_000109,Gene_109,protein_coding,chr21
GENE_000110,Gene_110,protein_coding,chr22
GENE_000111,Gene_111,protein_coding,chr1
GENE_000112,Gene_112,protein_coding,chr2
GENE_000113,Gene_113,protein_coding,chr3
GENE_000114,Gene_114,protein_coding,chr4
GENE_000115,Gene_115,protein_coding,chr5
GENE_000116,Gene_116,protein_coding,chr6
GENE_000117,Gene_117,protein_coding,chr7
GENE_000118,Gene_118,protein_coding,chr8
GENE_000119,Gene_119,protein_coding,chr9
GENE_000120,Gene_120,protein_coding,chr10
GENE_000121,Gene_121,protein_coding,chr11
GENE_000122,Gene_122,protein_coding,chr12
GENE_000123,Gene_123,protein_coding,chr13
GENE_000124,Gene_124,protein_coding,chr14
GENE_000125,Gene_125,protein_coding,chr15
GENE_000126,Gene_126,protein_coding,chr16
GENE_000127,Gene_127,protein_coding,chr17
GENE_000128,Gene_128,protein_coding,chr18
GENE_000129,Gene_129,protein_coding,chr19
GENE_000130,Gene_130,protein_coding,chr20
GENE_000131,Gene_131,protein_coding,chr21
GENE_000132,Gene_132,protein_coding,chr22
GENE_000133,Gene_133,protein_coding,chr1
GENE_000134,Gene_134,protein_coding,chr2
GENE_000135,Gene_135,protein_coding,chr3
GENE_000136,Gene_136,protein_coding,chr4
GENE_000137,Gene_137,protein_coding,chr5
GENE_000138,Gene_138,protein_coding,chr6
GENE_000139,Gene_139,protein_coding,chr7
GENE_000140,Gene_140,protein_coding,chr8
GENE_000141,Gene_141,protein_coding,chr9
GENE_000142,Gene_142,protein_coding,chr10
GENE_000143,Gene_143,protein_coding,chr11
GENE_000144,Gene_144,protein_coding,chr12
GENE_000145,Gene_145,protein_coding,chr13
GENE_000146,Gene_146,protein_coding,chr14
GENE_000147,Gene_147,protein_coding,chr15
GENE_000148,Gene_148,protein_coding,chr16
GENE_000149,Gene_149,protein_coding,chr17
GENE_000150,Gene_150,protein_coding,chr18
GENE_000151,Gene_151,protein_coding,chr19
GENE_000152,Gene_152,protein_coding,chr20
GENE_000153,Gene_153,protein_coding,chr21
GENE_000154,Gene_154,protein_coding,chr22
GENE_000155,Gene_155,protein_coding,chr1
GENE_000156,Gene_156,protein_coding,chr2
GENE_000157,Gene_157,protein_coding,chr3
GENE_000158,Gene_158,protein_coding,chr4
GENE_000159,Gene_159,protein_coding,chr5
GENE_000160,Gene_160,protein_coding,chr6
GENE_000161,Gene_161,protein_coding,chr7
GENE_000162,Gene_162,protein_coding,chr8
GENE_000163,Gene_163,protein_coding,chr9
GENE_000164,Gene_164,protein_coding,chr10
GENE_000165,Gene_165,protein_coding,chr11
GENE_000166,Gene_166,protein_coding,chr12
GENE_000167,Gene_167,protein_coding,chr13
GENE_000168,Gene_168,protein_coding,chr14
GENE_000169,Gene_169,protein_coding,chr15
GENE_000170,Gene_170,protein_coding,chr16
GENE_000171,Gene_171,protein_coding,chr17
GENE_000172,Gene_172,protein_coding,chr18
GENE_000173,Gene_173,protein_coding,chr19
GENE_000174,Gene_174,protein_coding,chr20
GENE_000175,Gene_175,protein_coding,chr21
GENE_000176,Gene_176,protein_coding,chr22
GENE_000177,Gene_177,protein_coding,chr1
GENE_000178,Gene_178,protein_coding,chr2
GENE_000179,Gene_179,protein_coding,chr3
GENE_000180,Gene_180,protein_coding,chr4
GENE_000181,Gene_181,protein_coding,chr5
GENE_000182,Gene_182,protein_coding,chr6
GENE_000183,Gene_183,protein_coding,chr7
GENE_000184,Gene_184,protein_coding,chr8
GENE_000185,Gene_185,protein_coding,chr9
GENE_000186,Gene_186,protein_coding,chr10
GENE_000187,Gene_187,protein_coding,chr11
GENE_000188,Gene_188,protein_coding,chr12
GENE_000189,Gene_189,protein_coding,chr13
GENE_000190,Gene_190,protein_coding,chr14
GENE_000191,Gene_191,protein_coding,chr15
GENE_000192,Gene_192,protein_coding,chr16
GENE_000193,Gene_193,protein_coding,chr17
GENE_000194,Gene_194,protein_coding,chr18
GENE_000195,Gene_195,protein_coding,chr19
GENE_000196,Gene_196,protein_coding,chr20
GENE_000197,Gene_197,protein_coding,chr21
GENE_000198,Gene_198,protein_coding,chr22
GENE_000199,Gene_199,protein_coding,chr1
GENE_000200,Gene_200,protein_coding,chr2
GENE_000201,Gene_201,protein_coding,chr3
GENE_000202,Gene_202,protein_coding,chr4
GENE_000203,Gene_203,protein_coding,chr5
GENE_000204,Gene_204,protein_coding,chr6
GENE_000205,Gene_205,protein_coding,chr7
GENE_000206,Gene_206,protein_coding,chr8
GENE_000207,Gene_207,protein_coding,chr9
GENE_000208,Gene_208,protein_coding,chr10
GENE_000209,Gene_209,protein_coding,chr11
GENE_000210,Gene_210,protein_coding,chr12
GENE_000211,Gene_211,protein_coding,chr13
GENE_000212,Gene_212,protein_coding,chr14
GENE_000213,Gene_213,protein_coding,chr15
GENE_000214,Gene_214,protein_coding,chr16
GENE_000215,Gene_215,protein_coding,chr17
GENE_000216,Gene_216,protein_coding,chr18
GENE_000217,Gene_217,protein_coding,chr19
GENE_000218,Gene_218,protein_coding,chr20
GENE_000219,Gene_219,protein_coding,chr21
GENE_000220,Gene_220,protein_coding,chr22
GENE_000221,Gene_221,protein_coding,chr1
GENE_000222,Gene_222,protein_coding,chr2
GENE_000223,Gene_223,protein_coding,chr3
GENE_000224,Gene_224,protein_coding,chr4
GENE_000225,Gene_225,protein_coding,chr5
GENE_000226,Gene_226,protein_coding,chr6
GENE_000227,Gene_227,protein_coding,chr7
GENE_000228,Gene_228,protein_coding,chr8
GENE_000229,Gene_229,protein_coding,chr9
GENE_000230,Gene_230,protein_coding,chr10
GENE_000231,Gene_231,protein_coding,chr11
GENE_000232,Gene_232,protein_coding,chr12
GENE_000233,Gene_233,protein_coding,chr13
GENE_000234,Gene_234,protein_coding,chr14
GENE_000235,Gene_235,protein_coding,chr15
GENE_000236,Gene_236,protein_coding,chr16
GENE_000237,Gene_237,protein_coding,chr17
GENE_000238,Gene_238,protein_coding,chr18
GENE_000239,Gene_239,protein_coding,chr19
GENE_000240,Gene_240,protein_coding,chr20
GENE_000241,Gene_241,protein_coding,chr21
GENE_000242,Gene_242,protein_coding,chr22
GENE_000243,Gene_243,protein_coding,chr1
GENE_000244,Gene_244,protein_coding,chr2
GENE_000245,Gene_245,protein_coding,chr3
GENE_000246,Gene_246,protein_coding,chr4
GENE_000247,Gene_247,protein_coding,chr5
GENE_000248,Gene_248,protein_coding,chr6
