Gene1	Gene2	Type	Strength	Correlation	Score	Source	Region
8.5945	6.8663	TF_regulation	1.5153409868798386	1.0	1.5153409868798386	TF_to_gene	
6.777	6.9276	TF_regulation	2.927051726295144	0.3634905893834052	1.0639557571467357	TF_to_gene	
7.7375	6.803	TF_regulation	1.9375630408123703	0.5141825886749174	0.9962611800457492	TF_to_gene	
8.5945	6.6579	TF_regulation	1.2848150924771855	0.7614694031813287	0.9783473816669661	TF_to_gene	
7.3695	8.5867	TF_regulation	1.6998241749789578	0.5590297088390686	0.9502522136160967	TF_to_gene	
6.8113	7.5266	TF_regulation	2.299872965732158	0.3882071669701525	0.8928271684181237	TF_to_gene	
7.0035	7.013	TF_regulation	1.392617496370453	0.6157712240746966	0.8575337804078732	TF_to_gene	
7.7375	6.9094	TF_regulation	1.315329777428708	0.6074275621763601	0.7989675601614944	TF_to_gene	
6.777	7.9835	TF_regulation	0.948518638049875	0.7762890775352222	0.7363246585567028	TF_to_gene	
7.7375	6.9317	TF_regulation	1.6073719539890283	0.4505696662400542	0.7242330448324602	TF_to_gene	
8.0338	7.8165	TF_regulation	0.7645748712882836	0.809172474718914	0.6186729407082355	TF_to_gene	
7.1287	6.995	TF_regulation	1.1535831490940458	0.5226420650088435	0.6029110792019167	TF_to_gene	
8.0338	8.1231	TF_regulation	0.9749414000987572	0.574123979156359	0.5597372360689704	TF_to_gene	
6.8606	7.0998	TF_regulation	1.2328799409729834	0.4522684713587024	0.5575927262726584	TF_to_gene	
7.3854	6.7092	eRegulon	1.480804722593433	0.3614219468960019	0.5351953258125126	eRegulon	chr2:278000-279000
6.9423	6.7092	eRegulon	1.480804722593433	0.3614219468960019	0.5351953258125126	eRegulon	chr2:278000-279000
7.1287	6.8832	TF_regulation	1.8573801276619477	0.277475989854174	0.515378389458471	TF_to_gene	
7.0035	7.8116	TF_regulation	1.8825384794573743	0.2700075954207458	0.5082996881253127	TF_to_gene	
6.891	6.6873	TF_regulation	0.9217054509581866	0.5393381635309276	0.49711092523623374	TF_to_gene	
7.1287	7.2791	TF_regulation	0.7689797811758369	0.639482445287717	0.49174907084313774	TF_to_gene	
6.777	7.1802	TF_regulation	0.9363351203609924	0.5085062546253999	0.47613226512899126	TF_to_gene	
6.771	6.7869	TF_regulation	1.0047573572818227	0.4627681141301378	0.4649696673876902	TF_to_gene	
7.1474	6.7993	TF_regulation	0.9477374990904586	0.4897299792820206	0.4641354657943643	TF_to_gene	
7.7375	6.9094	eRegulon	1.0323599646161812	0.4326894282099456	0.4466912427966151	eRegulon	chr1:267000-268000
7.4285	6.9094	eRegulon	1.0323599646161812	0.4326894282099456	0.4466912427966151	eRegulon	chr1:267000-268000
8.177	6.7555	TF_regulation	2.393318798711777	0.1857659967125611	0.4445972520936027	TF_to_gene	
6.7057	8.1231	eRegulon	0.7682404345848398	0.5697316453786525	0.4376908868424318	eRegulon	chr1:252000-253000
8.0338	8.1231	eRegulon	0.7682404345848398	0.5697316453786525	0.4376908868424318	eRegulon	chr1:252000-253000
6.7521	6.8892	TF_regulation	1.3651135311510123	0.3137274096855431	0.428273532054692	TF_to_gene	
6.7521	7.5236	eRegulon	1.1823861181143993	0.3621171088331932	0.4281622426160888	eRegulon	chr1:373000-374000
7.327	7.5236	eRegulon	1.1823861181143993	0.3621171088331932	0.4281622426160888	eRegulon	chr1:373000-374000
7.0035	7.1556	TF_regulation	0.9816027977320718	0.4358384283848358	0.427820220661704	TF_to_gene	
6.6822	7.1483	eRegulon	1.2401311587395325	0.3346832808140513	0.4150511648466777	eRegulon	chr4:476000-477000
6.7822	7.1151	TF_regulation	1.3094964595202687	0.313498736249455	0.41052548518273985	TF_to_gene	
6.8606	7.0998	eRegulon	0.6343949551442946	0.6444662684460062	0.408846149462815	eRegulon	chr3:134000-135000
7.1149	7.5094	TF_regulation	0.9384084737927892	0.4309494438322934	0.4044066098685138	TF_to_gene	
6.9829	7.2968	TF_regulation	0.9083835706038572	0.4442185592972192	0.40352084102290925	TF_to_gene	
6.8606	6.9825	TF_regulation	0.7299506660036889	0.5465295008763688	0.39893957315536904	TF_to_gene	
6.634	7.0437	TF_regulation	0.5839692355875742	0.6705100632199357	0.39155724907232187	TF_to_gene	
7.1149	7.2084	TF_regulation	0.6575428472326014	0.5920211812495605	0.389279293140844	TF_to_gene	
7.1619	6.8558	TF_regulation	0.858910044663252	0.4519392248879234	0.3881751398335618	TF_to_gene	
7.1619	7.0335	TF_regulation	0.6543488219514026	0.5893483474035707	0.38563939684253246	TF_to_gene	
8.0338	6.995	TF_regulation	1.1261529603689648	0.3397714291565247	0.3826346007934143	TF_to_gene	
8.177	6.6942	eRegulon	1.2060418114193685	0.3051388573155654	0.3680102202113007	eRegulon	chr4:202000-203000
7.4419	7.3616	TF_regulation	1.120440542708547	0.3271264017551906	0.36652568311687994	TF_to_gene	
6.7521	7.0338	TF_regulation	0.7958986178905575	0.4580757050085705	0.364581820505564	TF_to_gene	
8.0338	6.995	eRegulon	0.8821059365347373	0.4110402118837626	0.3625810110571633	eRegulon	chr3:428000-429000
7.1287	6.995	eRegulon	0.8821059365347373	0.4110402118837626	0.3625810110571633	eRegulon	chr3:428000-429000
7.1123	6.7764	TF_regulation	1.0651116388123194	0.3401388250485849	0.362285821371195	TF_to_gene	
7.0715	7.3538	eRegulon	1.5644277009550571	0.2315454560332993	0.3622361254487647	eRegulon	chr4:160000-161000
6.634	6.7691	TF_regulation	0.7823665593207906	0.4560883196267103	0.3568282493727504	TF_to_gene	
6.8984	7.1151	eRegulon	0.611827179368059	0.580803665260623	0.3553514682830372	eRegulon	chr3:205000-206000
6.7822	7.1151	eRegulon	0.611827179368059	0.580803665260623	0.3553514682830372	eRegulon	chr3:205000-206000
6.6175	7.9793	eRegulon	0.8798624257455593	0.4020004585632298	0.3537050986222706	eRegulon	chr1:453000-454000
7.0582	7.9793	eRegulon	0.8798624257455593	0.4020004585632298	0.3537050986222706	eRegulon	chr1:453000-454000
6.8113	7.0643	eRegulon	1.3589563147471058	0.2533965685939618	0.3443548670260126	eRegulon	chr1:332000-333000
7.0361	7.0138	TF_regulation	1.0260564224384563	0.3255605394733565	0.334043482419166	TF_to_gene	
7.0715	7.3538	TF_regulation	1.3460900297228664	0.2452998036400069	0.3301956199727902	TF_to_gene	
7.031	6.8328	TF_regulation	0.9449218028812272	0.343519916279196	0.3245994586161461	TF_to_gene	
7.3854	7.1769	TF_regulation	0.7207298114183012	0.4396798242658802	0.31689035682757966	TF_to_gene	
7.0035	6.7581	TF_regulation	0.7715882882784046	0.4015025744164656	0.30979468413337347	TF_to_gene	
6.7822	7.1123	eRegulon	0.9941206428390617	0.3110511226921608	0.3092223420465427	eRegulon	chr1:180000-181000
7.7375	7.1619	TF_regulation	0.906115965391953	0.3381265191262421	0.3063818373026955	TF_to_gene	
6.7057	7.0634	TF_regulation	0.4435651672113277	0.6880508586963824	0.3051953941875585	TF_to_gene	
7.1149	7.5094	eRegulon	0.7530108894969333	0.4044010793550586	0.3045184164786726	eRegulon	chr4:446000-447000
7.1048	7.182	TF_regulation	0.3515308881561039	0.8648661182006092	0.3040271546671821	TF_to_gene	
6.7057	8.1231	eRegulon	0.6326734306321075	0.477006098860405	0.3017890849984506	eRegulon	chr4:272000-273000
8.0338	8.1231	eRegulon	0.6326734306321075	0.477006098860405	0.3017890849984506	eRegulon	chr4:272000-273000
7.1619	7.0335	eRegulon	1.367066427668585	0.2179400394000656	0.2979385111085984	eRegulon	chr2:388000-389000
7.4285	8.1795	TF_regulation	0.7384175880534167	0.3974626326106632	0.29349339851372724	TF_to_gene	
6.6246	7.1731	eRegulon	0.8672154599330718	0.3361231379332208	0.2914911816569054	eRegulon	chr3:364000-365000
7.3695	8.177	TF_regulation	0.5712474955833469	0.5083465705309194	0.2903917053041709	TF_to_gene	
7.6232	6.7106	TF_regulation	0.8916343315394769	0.3231668281909209	0.28814663882974473	TF_to_gene	
7.327	7.2699	TF_regulation	0.6303661896428128	0.4541002036784203	0.286249415108791	TF_to_gene	
7.3081	7.4109	eRegulon	1.2851596726657617	0.2225590679714311	0.2860239389429614	eRegulon	chr1:40000-41000
8.177	7.0018	TF_regulation	1.201509635807842	0.2366908593580515	0.2843863482263376	TF_to_gene	
7.1287	7.7691	TF_regulation	0.6429136805556758	0.4363846006434785	0.28055762973751747	TF_to_gene	
7.0582	6.6579	TF_regulation	0.909760668281328	0.3069858267509557	0.2792836308978454	TF_to_gene	
7.3695	8.177	eRegulon	1.1504807972319364	0.2423869925732449	0.2788615804543183	eRegulon	chr3:420000-421000
7.1048	7.521	eRegulon	0.6079478981701785	0.4523393516385586	0.2749987580883229	eRegulon	chr4:343000-344000
6.7822	7.521	eRegulon	0.6079478981701785	0.4523393516385586	0.2749987580883229	eRegulon	chr4:343000-344000
7.3854	6.7092	eRegulon	0.7797916904094297	0.3352211944921679	0.2614027019141158	eRegulon	chr3:125000-126000
